Id	Prompt	Wavfile
39747	Sag: Ich habe keine Reservation	39747.wav
39750	Sag: Ich habe keine Reservation	39750.wav
39751	Sag: Ich bin aus Spanien	39751.wav
39752	Sag: Spanien ist in Europa	39752.wav
39754	Sag: Ich habe 3 Brüder	39754.wav
39756	Sag: Dies ist mein Pass	39756.wav
39758	Sag: Ich bin aus Frankreich	39758.wav
39759	Sag: Die Hauptstadt von Frankreich ist Paris	39759.wav
39763	Sag: Ich heisse Stephanie	39763.wav
39764	Sag: Deutschland ist nicht in Afrika	39764.wav
39767	Sag: Ich gehe in die Ferien	39767.wav
39768	Sag: Ich gehe in die Ferien	39768.wav
39769	Sag: Ich heisse Andy	39769.wav
39770	Sag: Ich bin aus England	39770.wav
39772	Sag: Ich bin aus der Schweiz	39772.wav
39774	Sag: Die Hauptstadt von der Schweiz ist Bern	39774.wav
39777	Sag: Dies ist mein Pass	39777.wav
39779	Frag: Zimmer für 5 Nächte	39779.wav
39782	Sag: Ich habe keine Reservation	39782.wav
39785	Sag: Ich habe keine Reservation	39785.wav
39787	Sag: Ich heisse Silvia	39787.wav
39789	Sag: Ich bin aus der Schweiz	39789.wav
39791	Sag: Ich gehe in die Ferien	39791.wav
39792	Sag: Dies ist mein Pass	39792.wav
39794	Sag: Die Hauptstadt von der Türkei ist Ankara	39794.wav
39795	Sag: Ich habe 2 jüngere Schwestern	39795.wav
39798	Sag: Dies ist mein Pass	39798.wav
39801	Sag: Italien ist in Europa	39801.wav
39802	Sag: Die Hauptstadt von Italien ist Rom	39802.wav
39803	Sag: Ich habe 3 ältere Schwestern	39803.wav
39804	Sag: Dies ist mein Pass	39804.wav
39806	Frag: 3 Musical-Tickets	39806.wav
39807	Frag: 3 Musical-Tickets	39807.wav
39808	Frag: 3 Tickets für Billy Elliot	39808.wav
39809	Frag: 3 Tickets für Billy Elliot	39809.wav
39810	Sag: Ich möchte in der neunten Reihe sitzen	39810.wav
39812	Frag: Zimmer für 6 Nächte	39812.wav
39813	Sag: Ich möchte mit Kreditkarte bezahlen	39813.wav
39817	Frag: Zimmer für 6 Nächte	39817.wav
39823	Sag: Ich möchte mit Mastercard bezahlen	39823.wav
39824	Sag: Ich möchte mit Mastercard bezahlen	39824.wav
39825	Frag: Gibt es einen Lebensmittelladen?	39825.wav
39826	Frag: Gibt es einen Lebensmittelladen?	39826.wav
39827	Sag: Ich habe keine Reservation	39827.wav
39831	Frag: ein Ticket zum Green Park	39831.wav
39832	Sag: Ich möchte mit Visa bezahlen	39832.wav
39833	Frag: Zimmer für 3 Nächte	39833.wav
39834	Frag: Twinzimmer	39834.wav
39836	Frag: Gibt es einen Coiffeur?	39836.wav
39840	Frag: Wo ist die Hotelbar?	39840.wav
39841	Sag: Im Zimmer hat es keinen Haarföhn	39841.wav
39842	Frag: Einzelzimmer	39842.wav
39846	Sag: Ich habe keine Reservation	39846.wav
39849	Frag: Wo ist der Lift?	39849.wav
39850	Sag: Im Zimmer hat es keinen Haarföhn	39850.wav
39854	Sag: Ich habe keine Reservation	39854.wav
39855	Frag: Einzelzimmer	39855.wav
39856	Sag: Ich möchte mit Kreditkarte bezahlen	39856.wav
39857	Frag: Gibt es eine Hotelbar?	39857.wav
39859	Sag: Ich möchte mit Postkarte bezahlen	39859.wav
39860	Frag: Gibt es einen Lebensmittelladen?	39860.wav
39861	Frag: Wo ist der Lebensmittelladen?	39861.wav
39862	Sag: Ich habe keine Reservation	39862.wav
39863	Frag: Zimmer für 6 Nächte	39863.wav
39864	Frag: Einzelzimmer	39864.wav
39866	Sag: Das Badezimmer ist dreckig	39866.wav
39867	Sag: Im Zimmer hat es kein Shampoo	39867.wav
39869	Frag: Zimmer für 3 Nächte	39869.wav
39871	Frag: Wo ist der Coiffeur?	39871.wav
39872	Sag: Das Zimmer ist dreckig	39872.wav
39875	Frag: Junior Suite	39875.wav
39876	Frag: Gibt es ein Fitnessstudio?	39876.wav
39877	Frag: 6 Tickets nach London	39877.wav
39878	Sag: Ich heisse Andrew	39878.wav
39879	Frag: 2 Tickets nach London	39879.wav
39880	Sag: Ich möchte um 15 Uhr morgen abreisen	39880.wav
39881	Sag: Ich möchte um 15 Uhr morgen abreisen	39881.wav
39882	Sag: Ich bin aus der Türkei	39882.wav
39885	Frag: billigeres Ticket	39885.wav
39886	Sag: Ich bin aus Australien	39886.wav
39887	Sag: Ich möchte am Mittwochabend abreisen	39887.wav
39888	Sag: Ich bin aus Frankreich	39888.wav
39890	Sag: Ich heisse John	39890.wav
39891	Sag: Ich bin aus Australien	39891.wav
39894	Frag: 5 Tickets nach London	39894.wav
39897	Sag: Ich heisse Erica	39897.wav
39898	Frag: 5 Tickets nach London	39898.wav
39899	Sag: Ich möchte am Donnerstag abreisen	39899.wav
39901	Frag: 5 Tickets nach London	39901.wav
39902	Sag: Ich heisse Barbara	39902.wav
39904	Sag: Ich heisse Patrick	39904.wav
39905	Sag: Die Hauptstadt von der Schweiz ist Bern	39905.wav
39906	Sag: Ich habe 3 Schwestern	39906.wav
39912	Sag: Ich heisse Andrew	39912.wav
39913	Sag: Ich bin aus Irland	39913.wav
39915	Frag: eine Limonade	39915.wav
39916	Frag: meinen Hamburger rare	39916.wav
39920	Frag: eine Limonade	39920.wav
39922	Frag: Bohnen	39922.wav
39923	Frag: Schokoladenglace	39923.wav
39925	Frag: ein Steak	39925.wav
39930	Frag: Ich möchte die Dessertkarte	39930.wav
39934	Frag: ein Wasser ohne Kohlensäure	39934.wav
39937	Frag: Ich möchte die Dessertkarte	39937.wav
39938	Frag: Ich möchte die Rechnung	39938.wav
39941	Frag: ein Wasser ohne Kohlensäure	39941.wav
39942	Frag: mein Steak blau	39942.wav
39943	Frag: Ich möchte die Dessertkarte	39943.wav
39945	Sag: Ich möchte mit Kreditkarte bezahlen	39945.wav
39948	Frag: einen gemischten Salat	39948.wav
39950	Frag: Ich möchte die Rechnung	39950.wav
39951	Frag: einen Kaffee	39951.wav
39952	Frag: mein Steak durchgebraten	39952.wav
39953	Sag: Dies ist nicht was ich bestellt habe	39953.wav
39954	Sag: Eine Reduzierung ist akzeptabel	39954.wav
39958	Frag: Wo ist Madame Tussauds?	39958.wav
39960	Frag: Wo ist das British Museum?	39960.wav
39963	Sag: Ich muss gehen	39963.wav
39964	Sag: Ich muss gehen	39964.wav
39965	Frag: Wo ist das London Eye?	39965.wav
39968	Frag: Wo ist Big Ben?	39968.wav
39972	Sag: Ich habe keine Reservation	39972.wav
39973	Frag: Suite	39973.wav
39974	Frag: Wo ist das Science Museum?	39974.wav
39977	Frag: Wo ist das London Eye?	39977.wav
39979	Frag: Wo ist Big Ben?	39979.wav
39982	Frag: Wo ist die National Gallery?	39982.wav
39984	Frag: Wo ist der Zoo?	39984.wav
39986	Sag: Saint Pauls Cathedral ist nahe der Bank of England	39986.wav
39988	Sag: Ich bin aus Kanada	39988.wav
39990	Sag: Die Hauptstadt von der Türkei ist Ankara	39990.wav
39993	Frag: Zimmer für 4 Nächte	39993.wav
39994	Sag: Mir geht es gut	39994.wav
39996	Frag: weisse Stiefel	39996.wav
39998	Frag: Jeans	39998.wav
39999	Frag: grüne Jeans	39999.wav
40000	Frag: Wie viel kostet es?	40000.wav
40001	Frag: Wie viel kostet es?	40001.wav
40003	Sag: Ich habe keine Reservation	40003.wav
40005	Sag: Ich habe keine Reservation	40005.wav
40006	Frag: Zimmer für 5 Nächte	40006.wav
40007	Sag: Ich möchte mit Postkarte bezahlen	40007.wav
40012	Frag: Gibt es einen Lift?	40012.wav
40015	Sag: Ich möchte um 22 Uhr morgen abreisen	40015.wav
40017	Sag: Ich bin aus Frankreich	40017.wav
40019	Frag: 2 Tickets nach London	40019.wav
40020	Sag: Ich möchte am Donnerstagnachmittag abreisen	40020.wav
40021	Sag: Ich heisse Erica	40021.wav
40022	Sag: Ich bin aus Portugal	40022.wav
40023	Frag: ein Ticket zum Green Park	40023.wav
40024	Frag: ein Ticket zum Green Park	40024.wav
40027	Frag: ein Ticket zum Green Park	40027.wav
40028	Sag: Ich möchte mit Mastercard bezahlen	40028.wav
40030	Frag: Twinzimmer	40030.wav
40033	Sag: Das Zimmer ist dreckig	40033.wav
40036	Frag: Wo kann ich einen Haarföhn kaufen?	40036.wav
40037	Sag: Ich heisse James	40037.wav
40040	Sag: Ich habe 4 jüngere Schwestern	40040.wav
40045	Sag: Ich habe keine Reservation	40045.wav
40046	Sag: Ich habe keine Reservation	40046.wav
40051	Frag: Zimmer für 6 Nächte	40051.wav
40052	Frag: Zimmer für 6 Nächte	40052.wav
40053	Frag: Zimmer für 3 Nächte	40053.wav
40054	Sag: Ich möchte mit Visa bezahlen	40054.wav
40055	Sag: Ich möchte am Sonntagmorgen abreisen	40055.wav
40056	Frag: billiges Ticket	40056.wav
40059	Sag: Ich heisse Maddalena	40059.wav
40060	Sag: Die Hauptstadt von Österreich ist Wien	40060.wav
40061	Sag: Ich gehe in die Ferien	40061.wav
40065	Sag: Ich habe eine ältere Schwester	40065.wav
40066	Sag: Dies ist mein Pass	40066.wav
40067	Frag: Wo ist die Oxford Street?	40067.wav
40068	Sag: Ich muss gehen	40068.wav
40069	Frag: den Sonntagsbraten	40069.wav
40071	Frag: Custard Tart	40071.wav
40073	Frag: Twinzimmer	40073.wav
40074	Frag: Gibt es einen Coiffeur?	40074.wav
40075	Frag: Wo ist der Coiffeur?	40075.wav
40077	Sag: Im Zimmer hat es kein Duschgel	40077.wav
40078	Frag: Grösse 43	40078.wav
40079	Frag: ein Hemd	40079.wav
40080	Frag: eine L	40080.wav
40081	Sag: Das Hemd ist zu teuer	40081.wav
40084	Frag: Wo ist der Tower?	40084.wav
40085	Sag: Marble Arch ist gegenüber dem Hyde Park	40085.wav
40087	Sag: Ich möchte mit Postkarte bezahlen	40087.wav
40088	Frag: Zimmer für 3 Nächte	40088.wav
40089	Sag: Ich möchte mit Postkarte bezahlen	40089.wav
40090	Sag: Das WC ist dreckig	40090.wav
40092	Frag: 4 Musical-Tickets	40092.wav
40094	Frag: Zimmer für 5 Nächte	40094.wav
40096	Frag: Gibt es einen Lift?	40096.wav
40097	Frag: Zimmer für 7 Nächte	40097.wav
40098	Sag: Ich möchte mit Kreditkarte bezahlen	40098.wav
40101	Sag: Ich bin aus England	40101.wav
40103	Sag: Ich möchte um 19 Uhr morgen abreisen	40103.wav
40104	Sag: Ich bin aus Deutschland	40104.wav
40105	Sag: Ich möchte am Montagnachmittag abreisen	40105.wav
40108	Frag: Wie viel kostet es?	40108.wav
40109	Frag: billigeres Ticket	40109.wav
40110	Frag: ein Ticket nach London	40110.wav
40114	Sag: Ich habe 3 Brüder	40114.wav
40116	Sag: Dies ist mein Pass	40116.wav
40117	Sag: Ich heisse Brian	40117.wav
40120	Sag: Dies ist mein Pass	40120.wav
40122	Sag: Ich bin aus der Türkei	40122.wav
40123	Sag: Ich habe 2 Brüder	40123.wav
40124	Sag: Dies ist mein Pass	40124.wav
40125	Sag: Ich bin aus der Schweiz	40125.wav
40126	Sag: Die Schweiz ist in Europa	40126.wav
40127	Sag: Ich habe eine ältere Schwester	40127.wav
40128	Sag: Dies ist mein Pass	40128.wav
40130	Sag: Ich bin aus Italien	40130.wav
40132	Sag: Ich habe 4 jüngere Schwestern	40132.wav
40133	Sag: Dies ist mein Pass	40133.wav
40136	Sag: Dies ist mein Pass	40136.wav
40138	Sag: Ich heisse Mona	40138.wav
40140	Sag: Ich heisse Silvia	40140.wav
40141	Sag: Portugal ist nicht in Afrika	40141.wav
40143	Sag: Ich habe 3 Schwestern	40143.wav
40144	Sag: Dies ist mein Pass	40144.wav
40146	Sag: Ich möchte mit Pfund bezahlen	40146.wav
40147	Frag: Wo ist der Geldautomat?	40147.wav
40149	Sag: Ich habe kleinere Note	40149.wav
40152	Frag: ein Ticket nach Westminster	40152.wav
40155	Sag: Ich möchte mit Euros bezahlen	40155.wav
40158	Sag: Ich möchte mit Kreditkarte bezahlen	40158.wav
40159	Sag: Ich möchte mit Kreditkarte bezahlen	40159.wav
40160	Sag: Ich möchte am Mittwochabend gehen	40160.wav
40161	Sag: Ich möchte in der vierten Reihe sitzen	40161.wav
40163	Frag: ein Ticket für Samstagabend	40163.wav
40167	Frag: ein Ticket für Mamma Mia	40167.wav
40168	Sag: Ich möchte in der zehnten Reihe sitzen	40168.wav
40170	Frag: 2 Tickets für König der Löwen	40170.wav
40173	Sag: Ich möchte am Donnerstagabend gehen	40173.wav
40174	Sag: Ich möchte in der zehnten Reihe sitzen	40174.wav
40175	Frag: 2 Musical-Tickets	40175.wav
40178	Sag: Ich möchte in der fünften Reihe sitzen	40178.wav
40179	Frag: 2 Tickets	40179.wav
40181	Frag: Tickets für das London Eye	40181.wav
40182	Frag: eine Fanta	40182.wav
40183	Frag: meinen Hamburger durchgebraten	40183.wav
40184	Sag: Dies ist nicht was ich bestellt habe	40184.wav
40185	Frag: Ich möchte die Dessertkarte	40185.wav
40186	Frag: Ich möchte die Rechnung	40186.wav
40187	Frag: ein Wasser ohne Kohlensäure	40187.wav
40189	Frag: Ich möchte die Dessertkarte	40189.wav
40190	Frag: Ich möchte die Rechnung	40190.wav
40192	Frag: eine Limonade	40192.wav
40196	Frag: eine Cola	40196.wav
40201	Frag: Wo ist der Tower?	40201.wav
40202	Sag: Es ist nahe der Bank of England	40202.wav
40204	Frag: Wo ist die Tate Modern?	40204.wav
40207	Frag: weisse Stiefel	40207.wav
40208	Frag: ein Sweatshirt	40208.wav
40209	Frag: eine L	40209.wav
40211	Sag du möchtest nicht: dieses Sweatshirt	40211.wav
40212	Sag, dass du es nicht möchtest	40212.wav
40213	Sag: Ich habe keine Reservation	40213.wav
40214	Sag: Ich habe keine Reservation	40214.wav
40215	Sag: Ich habe keine Reservation	40215.wav
40216	Sag: Ich habe keine Reservation	40216.wav
40217	Sag: Ich habe keine Reservation	40217.wav
40220	Sag: Ich möchte mit Visa bezahlen	40220.wav
40223	Frag: 6 Tickets nach London	40223.wav
40225	Sag: Ich bin aus Österreich	40225.wav
40226	Sag: Ich heisse Andy	40226.wav
40229	Sag: Ich habe eine ältere Schwester	40229.wav
40231	Sag: Dies ist mein Pass	40231.wav
40232	Sag: Dies ist mein Pass	40232.wav
40233	Frag: ein Ticket nach Notting Hill	40233.wav
40234	Sag: Ich möchte mit Postkarte bezahlen	40234.wav
40235	Sag: Ich möchte mit Postkarte bezahlen	40235.wav
40237	Frag: ein Ticket für Starlight Express	40237.wav
40238	Sag: Ich möchte vorne sitzen	40238.wav
40241	Frag: eine Limonade	40241.wav
40243	Frag: Erbsen	40243.wav
40244	Frag: Ich möchte die Dessertkarte	40244.wav
40245	Frag: Wo ist das Naturhistorische Museum?	40245.wav
40246	Frag: Sandalen	40246.wav
40248	Frag: ein Hemd	40248.wav
40250	Sag: Mir geht es gut	40250.wav
40251	Frag: Grösse 37	40251.wav
40252	Frag: ein Hemd	40252.wav
40254	Frag: Wie viel kostet es?	40254.wav
40257	Frag: Sandalen	40257.wav
40258	Frag: ein Sweatshirt	40258.wav
40261	Frag: Wo ist der Tower?	40261.wav
40262	Frag: Welcher Bus fährt dorthin?	40262.wav
40263	Sag: Ich habe keine Reservation	40263.wav
40264	Sag: Mir geht es gut	40264.wav
40265	Frag: Grösse 40	40265.wav
40266	Frag: ein T-Shirt	40266.wav
40268	Frag: Wie viel kostet es?	40268.wav
40273	Sag: Dies ist zu teuer	40273.wav
40274	Sag: Mir geht es gut	40274.wav
40276	Frag: Ich möchte die Dessertkarte	40276.wav
40277	Frag: Ich möchte die Rechnung	40277.wav
40278	Sag: Ich bin aus Amerika	40278.wav
40283	Sag: Dies ist mein Pass	40283.wav
40284	Frag: ein Ticket zum Green Park	40284.wav
40285	Sag: Ich möchte mit Dollars bezahlen	40285.wav
40287	Frag: Wo ist das Naturhistorische Museum?	40287.wav
40290	Frag: Einzelzimmer	40290.wav
40292	Sag: Ich möchte mit Postkarte bezahlen	40292.wav
40293	Frag: Gibt es einen Lebensmittelladen?	40293.wav
40294	Sag: Das WC ist dreckig	40294.wav
40295	Sag: Ich habe keine Reservation	40295.wav
40296	Frag: Junior Suite	40296.wav
40297	Sag: Ich möchte mit Kreditkarte bezahlen	40297.wav
40298	Sag: Ich möchte mit Schweizer Franken bezahlen	40298.wav
40300	Frag: Twinzimmer	40300.wav
40301	Frag: Wo ist das Schwimmbad?	40301.wav
40303	Frag: ein Ticket für Mamma Mia	40303.wav
40304	Sag: Ich habe keine Reservation	40304.wav
40305	Frag: Zimmer für 4 Nächte	40305.wav
40306	Sag: Ich möchte mit Mastercard bezahlen	40306.wav
40308	Sag: Ich möchte mit Postkarte bezahlen	40308.wav
40310	Sag: Ich möchte mit Visa bezahlen	40310.wav
40311	Sag: Italien ist nicht in Afrika	40311.wav
40312	Sag: Die Hauptstadt von Italien ist Rom	40312.wav
40313	Frag: 4 Tickets nach London	40313.wav
40315	Sag: Ich möchte um 14 Uhr morgen abreisen	40315.wav
40316	Sag: Ich heisse Sarah	40316.wav
40318	Sag: Ich habe keine Reservation	40318.wav
40320	Sag: Ich habe keine Reservation	40320.wav
40322	Frag: Zimmer für 1 Woche	40322.wav
40323	Frag: Doppelzimmer	40323.wav
40326	Sag: Ich möchte mit Schweizer Franken bezahlen	40326.wav
40327	Frag: Wo ist das Fitnessstudio?	40327.wav
40329	Sag: Ich bin aus Kanada	40329.wav
40331	Frag: ein Ticket zum Green Park	40331.wav
40333	Frag: Wo ist das London Eye?	40333.wav
40335	Sag: Es ist nahe der Bank of England	40335.wav
40336	Frag: Wo ist die National Gallery?	40336.wav
40338	Frag: Wo ist Madame Tussauds?	40338.wav
40339	Sag: Saint Pauls Cathedral ist nahe der Bank of England	40339.wav
40340	Sag: Saint Pauls Cathedral ist nahe der Bank of England	40340.wav
40341	Sag: Mir geht es gut	40341.wav
40342	Frag: Stiefel	40342.wav
40343	Frag: Stiefel	40343.wav
40344	Frag: blaue Stiefel	40344.wav
40345	Frag: blaue Stiefel	40345.wav
40346	Frag: Grösse 39	40346.wav
40347	Frag: ein Sweatshirt	40347.wav
40349	Frag: ein grünes Sweatshirt	40349.wav
40351	Frag: Wie viel kostet das Sweatshirt?	40351.wav
40354	Frag: Zimmer für 6 Nächte	40354.wav
40355	Frag: Einzelzimmer	40355.wav
40356	Sag: Ich möchte mit Visa bezahlen	40356.wav
40359	Frag: Gibt es ein Hotelrestaurant?	40359.wav
40360	Frag: Gibt es ein Hotelrestaurant?	40360.wav
40362	Frag: ein Ticket zum Trafalgar Square	40362.wav
40365	Sag: Ich möchte mit Kreditkarte bezahlen	40365.wav
40366	Frag: Gibt es ein Hotelrestaurant?	40366.wav
40367	Frag: Zimmer für 5 Nächte	40367.wav
40368	Frag: Suite	40368.wav
40369	Frag: Suite	40369.wav
40374	Frag: Junior Suite	40374.wav
40375	Frag: Gibt es einen Lebensmittelladen?	40375.wav
40377	Sag: Ich bin aus Deutschland	40377.wav
40378	Sag: Ich heisse Patrick	40378.wav
40382	Sag: Ich gehe in die Ferien	40382.wav
40384	Frag: ein Ticket nach Notting Hill	40384.wav
40386	Frag: 3 Musical-Tickets	40386.wav
40387	Sag: Ich möchte am Donnerstagabend gehen	40387.wav
40388	Sag: Ich möchte am Donnerstagabend gehen	40388.wav
40389	Sag: Ich möchte in der vierten Reihe sitzen	40389.wav
40390	Frag: ein Wasser ohne Kohlensäure	40390.wav
40391	Frag: mein Steak durchgebraten	40391.wav
40393	Frag: Ich möchte die Dessertkarte	40393.wav
40394	Frag: Wo ist Big Ben?	40394.wav
40396	Sag: Mir geht es gut	40396.wav
40397	Frag: weisse Stiefel	40397.wav
40398	Frag: Grösse 38	40398.wav
40401	Frag: Wie viel kostet es?	40401.wav
40402	Sag: Die Jeans ist zu teuer	40402.wav
40404	Frag: Gibt es ein Fitnessstudio?	40404.wav
40406	Frag: Einzelzimmer	40406.wav
40408	Frag: Zimmer für 7 Nächte	40408.wav
40409	Sag: Ich möchte mit Kreditkarte bezahlen	40409.wav
40410	Frag: Wo ist das Fitnessstudio?	40410.wav
40411	Sag: Ich möchte um 15 Uhr morgen abreisen	40411.wav
40412	Sag: Ich heisse Sarah	40412.wav
40413	Frag: ein Ticket nach London	40413.wav
40414	Sag: Ich möchte um 13 Uhr morgen abreisen	40414.wav
40417	Sag: Ich möchte um 16 Uhr morgen abreisen	40417.wav
40419	Sag: Ich bin aus Deutschland	40419.wav
40421	Sag: Ich habe einen älteren Bruder	40421.wav
40423	Frag: Zimmer für 3 Nächte	40423.wav
40425	Sag: Ich möchte mit Mastercard bezahlen	40425.wav
40426	Frag: Gibt es ein Hotelrestaurant?	40426.wav
40427	Frag: Zimmer für 7 Nächte	40427.wav
40428	Sag: Ich möchte mit Visa bezahlen	40428.wav
40429	Frag: Gibt es eine Hotelbar?	40429.wav
40430	Frag: ein Ticket nach London	40430.wav
40433	Sag: Ich möchte am Sonntag abreisen	40433.wav
40434	Sag: Ich bin aus Portugal	40434.wav
40435	Sag: Ich heisse Silvia	40435.wav
40436	Sag: Die Hauptstadt von Spanien ist Madrid	40436.wav
40438	Sag: Ich habe 3 Brüder	40438.wav
40445	Frag: 4 Musical-Tickets	40445.wav
40446	Frag: 4 Musical-Tickets	40446.wav
40447	Sag: Ich möchte am Freitagabend gehen	40447.wav
40448	Frag: 4 Tickets für das Phantom der Oper	40448.wav
40449	Sag: Ich möchte vorne sitzen	40449.wav
40450	Sag: Ich möchte vorne sitzen	40450.wav
40451	Frag: Tickets für das British Museum	40451.wav
40453	Frag: eine Cola	40453.wav
40457	Frag: Ich möchte die Dessertkarte	40457.wav
40459	Frag: Welcher Bus fährt dorthin?	40459.wav
40460	Sag: Mir geht es gut	40460.wav
40462	Frag: weisse Stiefel	40462.wav
40464	Frag: Grösse 40	40464.wav
40465	Frag: ein Sweatshirt	40465.wav
40467	Frag: eine L	40467.wav
40469	Frag: Wie viel kostet es?	40469.wav
40477	Frag: Wo ist Piccadilly Circus?	40477.wav
40478	Sag: Saint Pauls Cathedral ist nahe der Bank of England	40478.wav
40481	Sag: Es ist nahe der Bank of England	40481.wav
40482	Frag: Wo ist die National Gallery?	40482.wav
40485	Frag: Welcher Bus fährt dorthin?	40485.wav
40486	Frag: Wo ist das Naturhistorische Museum?	40486.wav
40488	Sag: Marble Arch ist gegenüber dem Hyde Park	40488.wav
40489	Sag: Marble Arch ist gegenüber dem Hyde Park	40489.wav
40490	Frag: Wo ist das British Museum?	40490.wav
40491	Frag: Wo ist die Oxford Street?	40491.wav
40492	Frag: Wo ist die Oxford Street?	40492.wav
40494	Frag: Zimmer für 2 Nächte	40494.wav
40496	Frag: Gibt es eine Hotelbar?	40496.wav
40497	Frag: Zimmer für 7 Nächte	40497.wav
40498	Sag: Ich möchte mit Kreditkarte bezahlen	40498.wav
40499	Sag: Ich möchte mit Dollars bezahlen	40499.wav
