"Id"	"Prompt"	"Wavfile"	"RecResult"	"Transcription"	"language"	"meaning"	"Trace"
"127"	"Sag: Ich habe keine Reservation"	"user-286_2014-11-27_07-06-21_utt_002.wav"	"i got a reservation"	"i got a reservation"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"140"	"Sag: Ich habe keine Reservation"	"user-270_2014-12-16_08-29-47_utt_007.wav"	"i no nights please"	"i no i -xxx"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"141"	"Sag: Ich habe keine Reservation"	"user-270_2014-12-16_08-29-47_utt_008.wav"	"no i don't have a lisbon"	"no i don't oh fuck -xxx"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"142"	"Frag: Zimmer für 7 Nächte"	"user-270_2014-12-16_08-29-47_utt_009.wav"	"a room for two nights"	"a room for two nights"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"165"	"Frag: ein Ticket für Donnerstagabend"	"user-270_2014-12-16_16-54-48_utt_024.wav"	"i would like tickets for tuesday night"	"i would like tickets for tuesday night"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"169"	"Sag: Ich möchte in der achten Reihe sitzen"	"user-270_2014-12-16_16-54-48_utt_029.wav"	"i want sit in the eighth row"	"i want sit in the eighth row"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"170"	"Sag: Ich möchte in der achten Reihe sitzen"	"user-270_2014-12-16_16-54-48_utt_030.wav"	"i would like to sit in the eighth row"	"i would like sit in the eighth row"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"183"	"Sag: Ich möchte mit Visa bezahlen"	"user-270_2014-12-16_16-54-48_utt_045.wav"	"i want to pay with visa"	"i want to pay with the visa"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"187"	"Sag: Ich habe keine Reservation"	"user-288_2014-11-27_06-46-38_utt_004.wav"	"i don't have a reservation"	"i don't have an reservation"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"220"	"Sag: Ich möchte mit Mastercard bezahlen"	"user-280_2014-11-27_06-57-09_utt_007.wav"	"i want pay with mastercard"	"i will pay with mastercard"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"227"	"Sag: Ich heisse Silvia"	"user-280_2014-11-27_06-57-09_utt_017.wav"	"my name is silvia"	"i'm my name is silvia"	"correct"	"correct"	"M: 2-2 H: 3-0"
"246"	"Sag: Ich bin aus England"	"user-281_2014-12-09_15-31-48_utt_021.wav"	"i coming from england"	"i'm coming from england"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"248"	"Sag: Ich bin aus England"	"user-281_2014-12-09_15-31-48_utt_023.wav"	"i coming from england"	"i'm coming from england"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"257"	"Frag: 2 Tickets für Starlight Express"	"user-281_2014-12-09_15-31-48_utt_039.wav"	"i would like to have two tickets for starlight express"	"i would like to have two tickets for the starlight express"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"258"	"Frag: 2 Tickets für Starlight Express"	"user-281_2014-12-09_15-31-48_utt_040.wav"	"two tickets for starlight express"	"two tickets for the starlight express"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"264"	"Frag: eine Cola"	"user-281_2014-12-09_15-31-48_utt_049.wav"	"i would like to have a pool"	"i would like to have a cola"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"266"	"Frag: meinen Hamburger durchgebraten"	"user-281_2014-12-09_15-31-48_utt_051.wav"	"i would like my hamburger rare"	"i would like my hamburger rare"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"267"	"Frag: meinen Hamburger durchgebraten"	"user-281_2014-12-09_15-31-48_utt_052.wav"	"i would like my hamburger soup"	"i would like my hamburger through"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"271"	"Frag: Ich möchte die Dessertkarte"	"user-281_2014-12-09_15-31-48_utt_056.wav"	"can i have the card"	"can i have the card"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"304"	"Sag: Ich habe keine Reservation"	"user-289_2014-11-27_06-45-36_utt_021.wav"	"yes i have the of no i have no reservation"	"yes i have a oh no i have no reservation"	"correct"	"correct"	"M: 2-2 H: 3-0"
"308"	"Frag: Doppelzimmer"	"user-289_2014-11-27_06-45-36_utt_025.wav"	"twin room"	"twin room"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"316"	"Frag: 2 Tickets nach London"	"user-282_2014-11-27_06-53-16_utt_002.wav"	"i want two tickets to london"	"i want a ticket to london"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"339"	"Frag: Wo ist das Schwimmbad?"	"user-282_2014-11-30_20-35-31_utt_016.wav"	"where is it"	"where is it"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"340"	"Sag: Ich habe keine Reservation"	"user-282_2014-12-16_08-27-04_utt_002.wav"	"i don't have any reservation"	"i don't have an reservation"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"374"	"Sag: Ich habe keine Reservation"	"user-32_2014-10-29_14-32-01_utt_015.wav"	"no i do not have a i have a reservation"	"no i do not a have a reservation"	"correct"	"correct"	"M: 2-2 H: 3-0"
"388"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"user-45_2014-10-29_13-11-30_utt_021.wav"	"can i pay with credit card"	"can i pay with credit card"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"395"	"Frag: Grösse 37"	"user-45_2014-10-29_13-11-30_utt_032.wav"	"i am a thirty seven"	"i am a third seven"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"402"	"Frag: Twinzimmer"	"user-45_2014-11-05_12-33-21_utt_006.wav"	"blue sandals"	"twin zimmer*v"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"407"	"Frag: Gibt es eine Hotelbar?"	"user-45_2014-11-05_12-33-21_utt_011.wav"	"is there a hotel room"	"is there a hotel room"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"414"	"Frag: Wo ist der Lebensmittelladen?"	"user-45_2014-11-05_12-33-21_utt_024.wav"	"where is the grocery store"	"where is the gro*a store"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"424"	"Frag: Wo kann ich ein Shampoo kaufen?"	"user-45_2014-11-05_12-33-21_utt_040.wav"	"where can i buy some shampoo"	"where can i buy the shampoo"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"425"	"Frag: Zimmer für 7 Nächte"	"user-45_2014-11-05_12-33-21_utt_046.wav"	"a room for seven nights"	"i would a room for seven nights"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"437"	"Frag: Suite"	"user-45_2014-11-05_12-58-17_utt_015.wav"	"i would like the suite"	"i'd like the suite"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"457"	"Sag: Ich möchte mit Euros bezahlen"	"user-45_2014-11-05_12-58-17_utt_045.wav"	"my room swim by euros"	"i would to pay by euros"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"458"	"Sag: Ich möchte mit Euros bezahlen"	"user-45_2014-11-05_12-58-17_utt_046.wav"	"i'd like to pay by scones room"	"i'd like to pay by euros*z"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"459"	"Sag: Ich möchte mit Euros bezahlen"	"user-45_2014-11-05_12-58-17_utt_047.wav"	"can i single room"	"can i pay with euro"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"463"	"Frag: Junior Suite"	"user-45_2014-11-05_12-58-17_utt_056.wav"	"i'd like the trousers please"	"i'd like the -xxx- suite"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"466"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"user-45_2014-11-05_12-58-17_utt_059.wav"	"can i pay with swiss francs"	"can i pay by swiss francs"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"469"	"Frag: ein Ticket nach Westminster"	"user-45_2014-11-05_12-58-17_utt_064.wav"	"i'd like a ticket to westminster"	"i'd like a ticket to westminster*z"	"correct"	"correct"	"M: 2-2 H: 3-0"
"473"	"Sag: Ich möchte mit Dollars bezahlen"	"user-45_2014-11-05_12-58-17_utt_068.wav"	"can i pay with dollars"	"can i pay by dollars"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"477"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"user-45_2014-11-05_12-58-17_utt_074.wav"	"can i room my swiss francs"	"can i pay by swiss francs"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"481"	"Sag: Ich möchte mit Pfund bezahlen"	"user-45_2014-11-05_12-58-17_utt_080.wav"	"can i pay with pounds"	"can i pay by pounds"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"482"	"Sag: Ich habe nur grosse Noten"	"user-45_2014-11-05_12-58-17_utt_081.wav"	"i only have large notes"	"i only have larger notes"	"correct"	"correct"	"M: 2-2 H: 3-0"
"488"	"Sag: Ich möchte mit Euros bezahlen"	"user-45_2014-11-05_12-58-17_utt_089.wav"	"can i single room"	"can i pay with euro"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"497"	"Sag: Ich habe nur grosse Noten"	"user-45_2014-11-05_12-58-17_utt_104.wav"	"i want my steak blue"	"i only have larger*z notes"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"499"	"Sag: Ich bezahle mit Kreditkarte"	"user-45_2014-11-05_12-58-17_utt_106.wav"	"room for credit card"	"pay with credit card"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"520"	"Sag: Dies ist zu klein"	"user-45_2014-11-05_12-58-17_utt_133.wav"	"this is too small"	"is this too small"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"522"	"Sag, dass du es nicht möchtest"	"user-45_2014-11-05_12-58-17_utt_135.wav"	"i do not want these jeans"	"i do not want these jeans"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"526"	"Sag: Ich möchte um 12 Uhr morgen abreisen"	"user-45_2014-11-06_19-16-32_utt_003.wav"	"i'd like to leave at twelve o'clock pay haven't"	"i'd like to leave at twelve o'clock am"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"533"	"Sag: Ich bin aus der Schweiz"	"user-45_2014-11-06_19-16-32_utt_012.wav"	"i am from england"	"i am from swiss"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"549"	"Sag: Ich heisse Sarah"	"user-45_2014-11-06_19-16-32_utt_037.wav"	"i am brown"	"i'm sarah*z"	"correct"	"correct"	"M: 2-2 H: 3-0"
"559"	"Frag: billiges Ticket"	"user-45_2014-11-06_19-16-32_utt_054.wav"	"have three tickets"	"that's a cheap ticket"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"602"	"Frag: eine Goulasch-Suppe"	"user-45_2014-11-08_19-38-17_utt_011.wav"	"i would like a goulash soup"	"i would like the goulash soup"	"correct"	"correct"	"M: 1-3 H: 3-0"
"609"	"Frag: einen Orangensaft"	"user-45_2014-11-08_19-38-17_utt_020.wav"	"i'd like a orange juice"	"i'd like a orange juice"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"615"	"Sag: Dies ist nicht was ich bestellt habe"	"user-45_2014-11-08_19-38-17_utt_027.wav"	"this is not my"	"this is not why"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"622"	"Frag: den Sonntagsbraten"	"user-45_2014-11-08_19-38-17_utt_037.wav"	"i would like the sunday roast"	"i like i'd like a sunday roast"	"correct"	"correct"	"M: 1-3 H: 3-0"
"641"	"Frag: Wo ist das Naturhistorische Museum?"	"user-45_2014-11-08_19-38-17_utt_060.wav"	"i am a forty nationalism"	"i'm looking for the national history museum"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"665"	"Frag: Jeans"	"user-45_2014-11-08_19-38-17_utt_095.wav"	"i am looking for trousers"	"i'm looking for trousers"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"667"	"Frag: Jeans"	"user-45_2014-11-08_19-38-17_utt_097.wav"	"i'd like sandals"	"i'd like trousers"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"674"	"Frag: Jeans"	"user-45_2014-11-08_19-38-17_utt_107.wav"	"i'd like sandals"	"i'd like trousers"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"675"	"Frag: Jeans"	"user-45_2014-11-08_19-38-17_utt_108.wav"	"trousers"	"trousers"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"685"	"Frag: Jeans"	"user-45_2014-11-08_19-38-17_utt_120.wav"	"i'd like brown"	"i'd like trousers"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"698"	"Sag, dass du es nicht möchtest"	"user-45_2014-11-08_19-38-17_utt_136.wav"	"i do not want one"	"i do not want these jeans"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"736"	"Sag: Dies ist nicht was ich bestellt habe"	"user-45_2014-11-09_11-28-41_utt_045.wav"	"this is not what i ordered"	"this is not what i order"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"748"	"Sag: Ich möchte mit Mastercard bezahlen"	"user-45_2014-11-09_11-28-41_utt_060.wav"	"i want to pay with post card"	"i want to pay by post card"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"753"	"Frag: Bohnen"	"user-45_2014-11-09_11-28-41_utt_067.wav"	"i want please"	"i want peas"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"787"	"Frag: Wo ist das Naturhistorische Museum?"	"user-45_2014-11-19_11-17-56_utt_024.wav"	"i am looking for the natural history museum"	"i am looking for the national history museum"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"790"	"Sag: Marble Arch ist gegenüber dem Hyde Park"	"user-45_2014-11-19_11-17-56_utt_030.wav"	"yellow arch is opposite hyde park"	"marble*z arch is opposite hyde park"	"correct"	"correct"	"M: 2-2 H: 3-0"
"799"	"Frag: Wo kann ich ein Shampoo kaufen?"	"user-45_2014-11-19_11-17-56_utt_059.wav"	"where can i buy the shampoo"	"where can i buy the shampoo"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"815"	"Sag: Im Zimmer hat es kein Duschgel"	"user-45_2014-11-19_11-17-56_utt_087.wav"	"the room has no shower museum"	"the room has no shower gel*z"	"correct"	"correct"	"M: 2-2 H: 3-0"
"888"	"Frag: violette Hosen"	"user-45_2014-11-19_11-50-52_utt_100.wav"	"i want a single room"	"i want -xxx- pants"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"889"	"Frag: violette Hosen"	"user-45_2014-11-19_11-50-52_utt_101.wav"	"i want toilet are"	"i want violet pants"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"890"	"Frag: eine S"	"user-45_2014-11-19_11-50-52_utt_103.wav"	"i want"	"more"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"914"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"user-45_2014-11-19_11-50-52_utt_131.wav"	"can i pay by swiss franc"	"can i pay by swiss francs"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"933"	"Frag: etwas Knoblauchbrot"	"user-45_2014-11-19_11-50-52_utt_155.wav"	"i'm fine sandals"	"i'd like a little bit"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"994"	"Sag: Ich bin aus der Türkei"	"user-45_2014-11-19_11-50-52_utt_240.wav"	"i'm from turkey"	"i'm from the turkey*z"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"1012"	"Sag: Ich möchte mit Euros bezahlen"	"user-45_2014-11-19_11-50-52_utt_268.wav"	"i'd like to pay with euros"	"i'd like to pay by euro"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"1013"	"Sag: Ich möchte mit Euros bezahlen"	"user-45_2014-11-19_11-50-52_utt_269.wav"	"can i pay with euro"	"can i pay with euro"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1019"	"Sag: Ich möchte vorne sitzen"	"user-45_2014-11-19_11-50-52_utt_277.wav"	"i want to sit afternoon"	"i want to sit up front"	"correct"	"correct"	"M: 2-2 H: 3-0"
"1021"	"Sag: Ich möchte vorne sitzen"	"user-45_2014-11-19_11-50-52_utt_279.wav"	"i'd like to sit on the small"	"i'd like to sit up the front"	"correct"	"correct"	"M: 2-2 H: 3-0"
"1029"	"Frag: 4 Tickets für Wicked"	"user-45_2014-11-19_11-50-52_utt_290.wav"	"i'd like four tickets for monday"	"i'd like four tickets for wicked*z"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1034"	"Frag: ein Ticket für Samstagabend"	"user-45_2014-11-19_11-50-52_utt_298.wav"	"tickets for sunday evening"	"tickets for sunday evening"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1035"	"Frag: ein Ticket für Samstagabend"	"user-45_2014-11-19_11-50-52_utt_299.wav"	"i want tickets for saturday evening"	"i'd like tickets for saturday evening"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"1038"	"Sag: Ich möchte in der dritten Reihe sitzen"	"user-45_2014-11-19_11-50-52_utt_302.wav"	"i'd like to sit in the third row"	"i'd like to sit in the third row"	"correct"	"correct"	"M: 2-2 H: 3-0"
"1040"	"Frag: 3 Tickets"	"user-45_2014-11-19_11-50-52_utt_304.wav"	"i want three tickets"	"like three tickets"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"1049"	"Frag: Tickets für das Naturhistorische Museum"	"user-45_2014-11-19_11-50-52_utt_317.wav"	"i want tickets for the natural history museum"	"i'd like tickets for the national history museum"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1050"	"Frag: Tickets für das Naturhistorische Museum"	"user-45_2014-11-19_11-50-52_utt_318.wav"	"i'd like tickets for the national history museum"	"i'd like tickets for the national history museum"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1051"	"Frag: Tickets für das Naturhistorische Museum"	"user-45_2014-11-19_11-50-52_utt_319.wav"	"tickets for the natural history museum"	"tickets for the national history museum"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1059"	"Sag: Ich möchte mit dem Manager sprechen"	"user-45_2014-11-19_11-50-52_utt_330.wav"	"i would like to speak with manager"	"i would like to speak with manager*z"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"1073"	"Frag: ein Steak"	"user-45_2014-11-19_11-50-52_utt_349.wav"	"i want my"	"i'd like"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1109"	"Frag: Wo ist das Naturhistorische Museum?"	"user-45_2014-11-19_11-50-52_utt_395.wav"	"where is the national history museum"	"where is the national history museum"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1110"	"Frag: Wo ist das Naturhistorische Museum?"	"user-45_2014-11-19_11-50-52_utt_396.wav"	"where is the natural history museum"	"where is the national history museum"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1114"	"Sag: Ich muss gehen"	"user-45_2014-11-19_11-50-52_utt_402.wav"	"i would like to go"	"i'd like to go"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1119"	"Sag: Ich muss gehen"	"user-45_2014-11-19_11-50-52_utt_411.wav"	"i'd like to go"	"i'd like to go"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1120"	"Sag: Ich muss gehen"	"user-45_2014-11-19_11-50-52_utt_412.wav"	"i would like to go"	"i'd like to go"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"1125"	"Sag: Ich muss gehen"	"user-45_2014-11-19_11-50-52_utt_421.wav"	"i'd like to boots"	"i'd like to go"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1131"	"Sag: Marble Arch ist gegenüber dem Hyde Park"	"user-45_2014-11-19_11-50-52_utt_430.wav"	"middle arch is opposite hyde park"	"marble*z arch is opposite hyde*z park"	"correct"	"correct"	"M: 2-2 H: 3-0"
"1152"	"Sag: Dies ist zu weit"	"user-45_2014-11-19_11-50-52_utt_459.wav"	"that's too far"	"that's too far"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1153"	"Sag: Dies ist zu weit"	"user-45_2014-11-19_11-50-52_utt_460.wav"	"that's too far"	"that's too far"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1167"	"Frag: Wie viel kostet die Hose?"	"user-45_2014-11-19_11-50-52_utt_475.wav"	"how much does the pants"	"how much does the pants"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1168"	"Sag: Die Hose ist zu teuer"	"user-45_2014-11-19_11-50-52_utt_476.wav"	"the trousers is too expensive"	"the pants is too expensive"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"1177"	"Frag: billiges Ticket"	"user-45_2014-11-19_16-32-57_utt_014.wav"	"does the jeans ticket"	"that's the cheap ticket"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1178"	"Frag: billiges Ticket"	"user-45_2014-11-19_16-32-57_utt_015.wav"	"have the jeans ticket"	"that's the cheap ticket"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1182"	"Sag: Ich möchte um 16 Uhr morgen abreisen"	"user-45_2014-11-19_16-32-57_utt_022.wav"	"i'd like to leave at four o'clock p m"	"i'd like to leave at four o'clock a m"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1186"	"Sag: Ich möchte um 13 Uhr morgen abreisen"	"user-45_2014-11-19_16-32-57_utt_028.wav"	"i'd like to leave at one o'clock a"	"i'd like to leave at one o'clock a m"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1188"	"Sag: Ich heisse Sarah"	"user-45_2014-11-19_16-32-57_utt_030.wav"	"my name is john"	"my name is barbara"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1199"	"Sag: Die Hauptstadt von Österreich ist Wien"	"user-45_2014-11-19_16-32-57_utt_045.wav"	"the capital of austria is please"	"the capital of austria is wien*v"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1211"	"Sag: Die Hauptstadt von Österreich ist Wien"	"user-45_2014-11-19_16-32-57_utt_061.wav"	"the capital of austria suite"	"the capital of austria is wien*v"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1213"	"Sag: Die Hauptstadt von Österreich ist Wien"	"user-45_2014-11-19_16-32-57_utt_063.wav"	"the capital of austria the suite"	"the capital of austria is wien*v"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1247"	"Sag: Ich heisse Brian"	"user-45_2014-11-19_17-46-32_utt_011.wav"	"my name is brian"	"my name is brian*z"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1248"	"Sag: Ich bin aus Portugal"	"user-45_2014-11-19_17-46-32_utt_012.wav"	"i am from portugal"	"i'm from portugal*z"	"correct"	"correct"	"M: 2-2 H: 3-0"
"1249"	"Sag: Die Hauptstadt von Portugal ist Lissabon"	"user-45_2014-11-19_17-46-32_utt_013.wav"	"the capital of portugal is lisbon"	"the capital of portugal is lissabon*v"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"1261"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"user-46_2014-10-29_15-43-47_utt_011.wav"	"can i pay with credit card"	"can i pay with credit card"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"1264"	"Sag: Ich habe keine Reservation"	"user-46_2014-10-29_15-43-47_utt_017.wav"	"i don't have a reservation"	"i don't have reservation"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"1270"	"Frag: Gibt es einen Lebensmittelladen?"	"user-46_2014-10-29_15-43-47_utt_024.wav"	"is there a sweatshirt"	"is there a vegetable*z"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"1286"	"Sag: Ich habe keine Reservation"	"user-46_2014-11-09_13-24-17_utt_011.wav"	"i do not have a reservation"	"i do not have reservation"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"1294"	"Sag: Im Zimmer hat es kein Duschgel"	"user-46_2014-11-09_13-24-17_utt_023.wav"	"i could not find any no shower gel"	"i could not find any no shower gel*z"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"1313"	"Sag: Ich möchte mit Visa bezahlen"	"user-46_2014-11-09_13-24-17_utt_049.wav"	"pay with visa"	"pay with visa"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"1351"	"Sag: Das Zimmer ist dreckig"	"user-46_2014-11-09_13-24-17_utt_105.wav"	"the toilet is dirty"	"the toilet is dirty"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1354"	"Frag: Wo kann ich einen Haarföhn kaufen?"	"user-46_2014-11-09_13-24-17_utt_109.wav"	"where can i buy a hairdryer"	"where can i buy a hair dryer"	"correct"	"correct"	"M: 2-2 H: 3-0"
"1355"	"Frag: Wo kann ich einen Haarföhn kaufen?"	"user-46_2014-11-09_13-24-17_utt_110.wav"	"can i buy a hairdryer"	"can i buy a hairdryer"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"1364"	"Frag: Zimmer für 3 Nächte"	"user-46_2014-11-09_13-24-17_utt_125.wav"	"i want a room for three nights"	"i want a room for two nights"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
