Id,RecResult
6368,i pay by visa postcard
6369,i would like to pay by post card
6370,is there a swimming pool
6371,can i have four tickets ah sandals
6372,can i have four tickets to london
6374,i would like to leave tomorrow
6375,my name is michelle
6376,i am from scotland
6377,my name is stephanie
6378,i'm from austria
6379,the capital of austria is vienna
6380,i have three older brothers
6382,i went to holiday
6383,i'm going on holidays
6384,that is my pass
6385,this is my passport
6386,my name is mona
6387,i'm from tuesday
6388,i am from america
6389,i i don't know reservation
6390,i don't reservation
6391,no i do not have a reservation
6392,i want a room for one week
6394,i would like to buy pay with post card
6395,i would like to pay with post card
6396,is there a grocery store
6397,where is the grocery store
6398,no i do not have a reservation
6399,no i do not have a reservation
6400,i want a room for seven nights
6401,a twin room please
6402,i want to like to pay with post card
6403,is there a grocery store
6404,where is the grocery store
6405,my coast
6406,my toilet is dirty
6407,where can i visa ah harry three
6408,where can i have three tickets for the musical room ticket to the hill where can i pay a hairdryer
6409,i want a room for three nights
6410,a single room please
6411,can i pay with mastercard
6412,is there a hairdresser
6413,is there a hairdresser
6414,is there a hairdresser
6415,no i do not have a reservation
6416,i want a room for two nights
6417,i want a suite
6418,can i pay with credit card
6419,is there a hotel restaurant
6420,where is the hotel bar
6421,where is the hotel restaurant
6422,i would like two tickets to london
6423,i want a nights for nights
6425,a single room please
6427,i would like to pay with post card
6429,is there a hairdresser
6430,who is the pants
6431,a room a room i would like a room for sandals
6433,i want a room for one week
6434,a single room please
6435,i want with visa is john
6437,can i pay with visa
6438,i want a fitness studio
6440,is there a gym
6441,no i do not have a reservation
6442,a room a room for two nights
6443,i want a room for two nights
6444,i want a twin zimmer
6447,can i pay with visa
6449,can i pay with euros
6451,it's a live in the hotel bar
6452,do you have a lift
6453,where is the lift
6454,i want three three tickets to london
6455,i want three tickets to london
6458,i want to leave at ten o'clock tomorrow
6459,my name is john
6460,i'm from portugal
6461,i want five tickets to london
6462,i want five tickets to london
6463,i want to leave at saturday
6464,i would like to leave on saturday
6465,my name is sarah
6466,my name is sarah
6467,i'm from turkey
6469,i want a room for seven nights
6470,twin zimmer
6471,i want a twin zimmer
6472,can i pay with visa
6473,can i pay with switzer francs
6474,is there a hotel a fitness studio
6475,where is the fitness studio
6476,i want a room for three three nights
6478,i want the steak
6479,i want three monday
6480,a suite
6481,i would like three tickets to london
6482,i want to leave at eight o'clock tomorrow
6484,my name is michelle
6485,i'm from turkey
6486,i want a ticket to london
6487,i would like to leave on sunday afternoon
6488,my name is jack
6489,i am from a sandals
6490,i need a ticket to trafalgar scar
6491,can i pay by credit card
6492,can i pay with euros
6493,i want a ticket to notting hill
6495,can i pay by mastercard
6496,i want a ticket to green park
6504,i'm fine
6505,i am looking for sandals
6506,i'm looking for blue sandals
6507,who sandals please blue sandals please
6508,can eat blue sandals please
6509,i am a thirty seven
6510,i want looking king jeans
6511,i am looking for trousers
6512,green sandals please
6514,small
6515,how much does it cost
6516,the tower is too much the tower is too much
6517,no thank you the tower is too expensive
6518,i'm fine
6519,i want to pay with boots five want looking for boots
6520,i would like some boots
6522,for thirty four tickets
6523,i am a forty four
6524,i want looking for jeans
6527,i am a large
6528,this is too big
6529,i want not got this jeans
6530,i do not want this jeans i no i do not want these jeans
6531,i don't want this
6532,no i do not want this
6533,a room for four nights
6535,can i pay by credit card
6536,is there a hotel bar
6537,who is the hotel bar
6538,i would like a room for three nights
6539,i would like a suite
6540,i want a suite
6541,a room for seven nights
6542,twin room
6544,can i pay by credit card
6545,is there a hairdresser
6546,three tickets to london
6547,i would like to leave tomorrow at four
6548,my name is andy
6549,i am from australia
6550,i want a room for four nights
6551,i would like a double room
6552,i would like a double room
6554,is there a grocery store
6555,no i do not have a reservation
6556,i want a room for two nights
6557,i would like a double room
6558,can i pay with visa
6559,can i pay with euros
6560,is there a hotel restaurant
6561,where is the hotel restaurant
6562,can i buy a six tickets to london
6563,i would like to leave on thursday afternoon
6564,my name is nick
6565,i am from ireland
6567,i am looking for sandals
6568,i have white sandals
6569,i am a thirty six
6570,i would like a t-shirt
6571,can i have the bill
6572,can i pay with visa
6573,i'm fine thanks
6574,i'd like some boots
6575,i would like brown boots please
6576,brown boots please
6577,i am a forty three
6578,i want a shirt
6579,capital shirt please
6580,a suite
6581,i want a large
6582,how much is it
6583,the shirt is too expensive
6585,i'd like sandals
6586,i would like red sandals
6587,i am a forty one
6588,i'd like trousers
6589,red trousers please
6590,i am a small
6591,how much capital is coast
6592,no thank you is too expensive
6593,no thank you the pants is too expensive
6594,a lift
6595,i'm fine thanks
6596,i would like sandals
6597,i would like blue sandals
6598,blue sandals please
6599,i'm a forty three
6600,i'd like a sweatshirt
6601,i would like a red sweatshirt
6602,i am a small
6603,how much is it
6604,i want a room for three nights
6605,single room
6606,i want to pay by credit card
6607,i want to leave monday hair pay
6609,where is barbara
6610,do you have a passport
6611,i am a hairdresser
6612,where is the hairdresser
6613,i have no reservation
6615,no i do not have a reservation
6617,a room for seven nights
6618,room for seven nights
6620,can i pay by mastercard
6621,i
6622,is there a hotel bar
6623,is there a hotel bar
6624,where is the hotel bar
6625,my room is paris row
6626,my room is dirty
6627,i could not find my me a hairdryer
6628,where can i buy a hairdryer
6629,i would like four tickets to london
6630,i would like to leave at saturday afternoon
6631,i would like to leave on sunday afternoon
6633,my name is erica
6634,i'm from switzerland
6635,my name is patrick
6637,i'm from spain
6638,the capital of spain is madrid
6639,i have four younger brothers
6640,i have four young brothers
6641,i have four younger brothers
6642,i go to the holidays
6643,i'm going on holidays
6644,this is my passport
6645,a room
6646,a room for four nights
6647,i
6648,a single room
6649,can i pay by credit card
6650,do you have a lift
6651,where is the lift uh where is the lift
6652,i'd like a room for two nights
6653,i would like a room for three nights
6654,i'd like a single room please
6655,single room
6656,single room
6657,i want to buy with credit card please
6659,is there a hotel restaurant
6660,is there a hotel restaurant
6661,is there a hotel restaurant
6662,where is the hotel restaurant
6663,yes i would like four tickets for london please
6664,i want four tickets to london
6665,yes i want four tickets to london states
6666,i would like to leave tomorrow at one p m
6667,my name is brian
6668,i'm from america
6669,i'm looking pants
6670,i am good
6671,i would like to buy some boots
6672,i would like to buy some boots
6673,i would like to buy some boots
6674,i want to buy white boots
6675,thirty six
6676,i am a thirty six
6677,i am looking for francs
6678,i am looking for brown paris
6680,i need a large
6681,how much is this
6682,the tower is near bank this
6683,i would like a still water
6684,i'd like a steak
6685,i'd like my steak rare
6686,i would like some carrots
6687,i'm please dessert card
6688,i would like the dessert card
6689,could i see the dessert menu
6690,i would like three tickets for this
6691,i would like the chocolate ice cream
6692,i would like a red boots
6695,my name is janet
6696,i'm from boots
6697,i am from spain
6698,the capital from spain is madrid
6699,i have two tuesday tuesday
6700,i want i want a room for five nights
6701,i want a room for five nights
6702,i am i would like a single room
6703,i would like a single room
6704,i would like a single room
6705,i want i want to pay with visa
6706,i want to pay with visa
6707,i will buy i want to pay with visa
6708,for trousers
6709,a room for tomorrow stay card room
6710,i a pass room
6711,i want a ticket to london
6712,i need a ticket to london nights
6713,i need a ticket to london
6714,i want junior
6716,i want to leave at eight o'clock tomorrow
6717,my name is jack
6718,i'm from portugal
6719,i need a ticket for sunday
6720,i want to leave at saturday nights
6721,i want to leave on saturday nights
6722,i want to leave on saturday nights
6723,my name is paris
6724,my name is janet
6725,i'm from austria
6726,i need a ticket to london
6727,i need a ticket a
6728,i need a ticket for natural
6729,i want to leave on monday
6730,my name is mona
6731,i'm from austria
6732,i need five tickets for monday
6733,i want to leave at ten o'clock tomorrow
6734,i want to leave tomorrow at seven bar
6736,my name is nick
6737,i'm from turkey
6738,i'm from turkey
6739,my name is maddalena
6740,i'm from spain
6741,i'm from nine a m
6742,i am from museum
6743,the capital of germany is berlin
6744,i have four younger sister
6745,i have brown westminster
6746,there is
6747,iraqi
6748,iraqi
6749,i want to holiday
6750,i pay with credit card
6751,is there a hotel restaurant
6752,i need a room for five nights
6753,can i have a single room please
6754,i would pay with credit card row
6755,i would pay with dollars
6756,give it a indoor swimming pool
6757,is there a swimming pool
6758,where is the swimming pool
6759,i need a room for six nights
6760,a single room please
6761,i would like pay with mastercard
6762,i would like pay with dollars
6763,the toilet shirt room
6764,is there a hairdresser
6765,where is the hairdresser
6766,i need a room for seven nights
6767,a junior suite
6770,can i pay with visa
6771,is there a grocery store
6772,where is the grocery store
6773,i need a room for seven nights
6774,a suite please
6775,i would like pay with mastercard
6777,give it a goulash to eight row
6778,where is the grocery store
6779,i need a room for two nights
6781,a single room
6782,i would like pay with credit card
6783,i would like pay with dollars
6784,give it a suit store
6787,a room for six nights
6788,a room for six nights
6789,a room for six nights
6790,a single room
6791,i would like to buy with visa
6792,this is the grocery store
6793,where is the grocery store
6795,i need five tickets shop to london please
6797,i would like to leave tomorrow at can atm
6798,my name is brian
6799,a single room
6800,i would like to pay with credit card
6801,is there a fitness room
6802,where is the for a musical please
6803,i would like a room for five nights
6804,single room
6805,a single room please
6806,i am fine
6807,can i pay with the credit card please
6808,is there a hotel restaurant
6809,where is the hotel restaurant
6810,i would like a room for three nights
6811,i would like a room for three nights
6812,a suite please
6813,i would like to pay with visa
6814,i would like to pay with dollars
6815,is there a water
6816,is there a hairdryer
6817,is there a hairdryer
6818,i would like a room for two nights
6819,i would like a room for two nights
6820,a single room
6821,a single room
6822,i would like to pay with credit card
6823,i would like to pay with the credit card
6824,is there a fitness room
6825,i am a fitness room
6826,is there a fitness room
6827,where is the fitness please
6828,where is the fitness room
6829,where is the fitness room
6830,i would like a lemonade
6831,i would i have a steak
6832,i want have a steak please
6833,i would like the steak medium
6834,i would like carrots
6835,i would like the dessert card please
6836,i would like the dessert card
6837,i would like the dessert card
6838,i would like a fanta
6839,i want have a steak
6840,i would have the steak well done
6841,i want the steak well done
6843,i have the dessert card
6844,i want have the dessert card
6845,i want have apple cake
6847,i want yellow i would like to pay with visa
6849,i want have a coke
6850,i will have a sunday with eat
6851,i would like my sunday roast well done
6852,i would like my sunday roast well done
6853,i don't have scotch row
6855,can i have the dessert card
6856,i would like the dessert card
6857,i will have a tea
6858,i will have a steak
6859,i would like my steak well done
6860,i will have older museum
6861,i will have want pay with card a
6862,there is a far visa friday card
6863,i would like a dessert card
6864,can i have one musical ticket
6866,i would like to leave uh tickets ah for tomorrow evening
6867,can i have a ticket for monday evening
6868,i will have tickets for monday evening
6869,i want a ticket for one week
6870,can i have a ticket for wicked
6873,i would like sit pay in the eighth row
6874,pay
6878,i would like to go on friday evening
6879,i will have four tickets for one white
6881,can i have four tickets for one week
6882,i would like to sit in the ninth row
6884,a i can i have tickets for the science museum
6886,i would have three musical tickets
6887,i would like tickets for the musical tomorrow evening
6888,i would like to go tomorrow evening
6890,i will have three tickets for billy elliot
6891,i would like to sit in the second row
6896,i will have four tickets for king of the lions
6897,can i have four tickets for king of the lion
6898,i'm have four tickets for king of the lion
6899,i would sit in the sixth row
6903,i will have tickets for the natural history museum
6905,i'm fine
6908,i would like boots
6909,i would small where can
6910,i want red boots
6911,can i have a red boots
6912,can i have forty two
6914,can i have a sweatshirt
6915,i want a sweatshirt
6916,i want a yellow sweatshirt
6917,can i have a steak
6919,i will passport
6920,how much is it
6921,the sweatshirt is too expensive
6922,i'm fine
6923,i am leave i want to
6924,i want this
6925,i want a steak
6926,i want red westminster
6927,thirty six
6928,can i have thirty
6930,i want a sweatshirt
6931,i want a red sweatshirt
6932,bar can i have small
6933,can i have small
6934,can i have medium
6936,how much does the sweatshirt
6937,how much cost this sweatshirt
6938,this is too expensive
6939,this is too expensive
6940,i'm fine
6941,i want a steak
6942,i want boots
6943,can i have boots doty
6944,i want white boots
6946,can i have white boots
6949,i want to pay with mastercard
6950,yes i
6951,i want to pay with mastercard
6952,i am john
6953,a ticket to piccadilly circus
6954,ticket to the piccadilly
6955,i want to pay with visa
6956,i want to stay for
6958,a room for seven nights
6959,for seven nights please
6960,can i pay
6962,a single room please
6963,i would like a sweatshirt
6964,i would like to pay by credit card
6965,a hairdryer
6966,is there a elevator
6967,where is the elevator
6970,i am from pay card please
6971,i am from pay
6972,i'm from spain is madrid
6973,the capital of spain is madrid
6974,i have three brothers room
6975,i am on holidays
6976,holiday
6977,i am on holidays
6979,i want a museum
6980,i want the steak
6986,i would like a hamburger
6987,i want to leave monday nights nights
6988,i am room
6989,my name is jack
6990,i am from italy
6991,capital of italy is rome
6992,can i pay with euro
6993,the capital of italy is rome
6994,i have one t-shirt
6995,i'm going on holidays
6996,i am on holidays
6998,this is my passport
6999,i pay by head
7000,can i pay with visa
7001,i pay with visa
7002,i pay pay car
7003,i pay with master room isn't
7004,i want tickets for card
7005,i'm from italy
7006,the capital card card is that ok row sisters
7007,i am is rome
7008,the capital of italy is rome
7009,i have two younger sisters
7010,i'm going in the holidays
7011,this is my pass
7012,this t-shirt is i have a reservation
7014,a ticket am john
7015,can i pay with isn't john
7016,my name is john
7017,i want my hamburger rare
7018,can i pay a hairdryer
7021,is there a hotel restaurant
7022,where is the hotel restaurant
7023,a room for one week please
7024,a single room please
7025,i would like pay by credit card
7027,is there a hotel restaurant
7028,where is the hotel restaurant
7030,a room for six nights
7032,single room please
7033,a twin room please
7034,a double room
7038,where is the hairdresser
7039,i need a ticket to london
7040,i need a ticket to london eye
7043,i would like a room for seven nights
7044,i would like a single room
7046,is there a market
7047,is there a grocery store
7048,a grocery store
7049,where is the grocery store
7050,i'm fine
7052,i want some boots
7053,i want some boots
7054,i want blue boots
7055,room
7056,blue boots
7057,forty four
7058,forty bar
7059,i am a forty four
7061,i want brown pants
7062,i need a hamburger
7063,i would pants
7064,i don't have a
7065,yellow pants
7068,i want a steak
7069,how much does it cost
7070,the capital of too expensive
7071,yes shower a too expensive
7072,i'd like a water without gas
7073,i would like a still water
7074,i'd like the steak
7075,i would like my steak blue
7076,yes i would like boots
7077,i would like a lemonade
7078,i would like the steak
7079,steak well done
7080,i would like the steak well done
7081,yes i'd like the carrots
7083,i'd like the steak
7084,i'd like my steak rare
7085,yes i'd like the carrots
7087,i would like to pay by visa
7088,i want a room for four nights
7089,i want a suite
7090,i would like my room i i would like to i would like to pay by credit card
7091,i would like to pay by credit card card
7092,is there a hotel bar
7093,where is the hotel bar
7094,my toilet is dirty
7095,no i don't have a reservation
7096,i want a room for one week
7097,a double room please
7098,i want to buy with post card
7099,i would like to pay with post card
7100,is there a hairdresser
7101,where is the hairdresser
7102,i want six tickets to london
7103,i would like to leave on sunday afternoon
7104,my name is james
7105,i'm from austria
7106,my name is brian
7107,i'm from german
7108,the capital from germany is berlin
7109,i have two older sisters
7110,i have two older sisters
7111,i go to holidays
7112,i am going on holidays
7113,yes it's my passport
7114,i want a ticket to the piccadilly circus
7115,i want a ticket to the piccadilly circus
7116,i want to pay with visa
7117,i want one musical ticket
7118,i want one ticket for saturday evening
7120,i would like to sit in the fourth row
7121,i want tickets for the british museum
7123,i would like a lemonade
7124,i would like a steak
7126,i would like my steak blue
7127,i would like one scotch broth
7128,can i have scotch broth
7130,i would like the dessert card
7131,the dessert menu
7132,i would like the chocolate ice cream
7133,i would like the check
7134,i would like to pay with visa
7135,where is the national gallery
7136,where is the london eye
7137,which bus goes there
7138,i would like a room for seven nights
7139,i would like a ticket to london
7140,i would like to pay with post card
7141,i would like to pay by post card
7142,i would like to pay with swiss swiss francs
7143,is there a hotel restaurant
7144,where is the hotel restaurant
7145,one room for two nights
7146,i want a room for two nights
7147,i want a room for two nights
7148,i would like a double room
7149,i would like a double room
7150,i would like a double room
7151,i would like pay with visa
7152,is there a swimming pool
7153,is there a swimming pool
7154,where is the swimming pool
7155,i haven't got a reservation
7156,no i do not have a reservation
7157,i want a room for a
7158,a single room for two nights
7159,i'd like two tickets to london
7160,i'd like to leave at friday afternoon
7161,i would like to leave on friday afternoon
7162,i would like to leave on saturday afternoon
7163,my name is thomas
7164,i am from england
7165,i am fine
7166,i am good
7167,i would like sunday
7168,i'd like a hamburger
7169,thirty six
7170,thirty eight
7171,i am a thirty six
7172,i would like i'd like a sweatshirt
7173,i would like a white sweatshirt
7174,can i have the bill
7175,i am a small
7176,how much is it
7177,the sweatshirt is too expensive
7179,i haven't a reservation
7180,no i do not have a reservation
7181,i come from fifth nights
7182,a room for six nights
7183,i want a room for six nights
7186,no i haven't got a reservation
7187,i would like a room for one week
7188,i would like a suite
7189,i would like with master card
7190,can i pay with mastercard
7191,i want pay with swiss francs
7192,can i pay with swiss francs
7194,is there a hairdresser
7195,where is the hairdresser
7196,i want a room for five nights
7197,i want a suite
7198,i want pay with credit card
7199,there a hairdresser
7201,my name is john
7202,i'm from italian
7203,capital from is sunday roast
7204,i have three younger sisters
7205,i want to the holidays
7208,this is my pass
7209,this is my passport
7210,my name is maddalena
7213,i'm from portugal
7216,the capital from portugal is
7217,i have got three younger brothers
7218,i have four young brothers
7219,i go to the holidays
7221,i'm going on holiday
7225,i want four musical tickets
7227,i would
7228,i want four tickets for king hotel nights
7229,i would like in the seven nights
7230,i would like to sit in the seventh row
7231,i would like tickets for the science museum
7232,i want three tickets
7233,i want a ticket for one musical
7234,i want one ticket
7235,i want one musical ticket
7238,i would sit in the tenth row
7239,i would like to sit in the second row
7240,i haven't got a reservation
