Id	Prompt	Wavfile	RecResult
3764	Frag: Twinzimmer	3764.wav	a twin room for 
3767	Sag: Ich möchte mit Kreditkarte bezahlen	3767.wav	i would like to pay by credit card
3768	Frag: Gibt es einen Lift?	3768.wav	is there a room
3769	Sag: Ich habe keine Reservation	3769.wav	  a tomorrow at nine   
3770	Sag: Ich habe keine Reservation	3770.wav	i have no reservation
3771	Sag: Ich habe keine Reservation	3771.wav	i have a   room for have a      room   
3773	Sag: Ich habe keine Reservation	3773.wav	i haven't got a reservation
3774	Sag: Ich habe keine Reservation	3774.wav	i have not a reservation
3776	Sag: Ich habe keine Reservation	3776.wav	***  i'm mamma have a reservation
3777	Sag: Ich habe keine Reservation	3777.wav	***  ***   a have a reservation
3778	Sag: Ich habe keine Reservation	3778.wav	no i do not have a reservation
3779	Sag: Ich habe keine Reservation	3779.wav	where no i have not have i   have no
3781	Sag: Ich habe keine Reservation	3781.wav	no i do not have a reservation
3782	Frag: Zimmer für 7 Nächte	3782.wav	a room for my pass 
3783	Frag: Doppelzimmer	3783.wav	a double room
3784	Frag: Doppelzimmer	3784.wav	a double room for
3786	Sag: Ich möchte mit Postkarte bezahlen	3786.wav	i would like to pay by post card
3787	Frag: Gibt es ein Hotelrestaurant?	3787.wav	is there a      bar   
3788	Frag: Wo ist das Hotelrestaurant?	3788.wav	marble am from france  
3789	Frag: Wo ist das Hotelrestaurant?	3789.wav	where is there a       bar   
3790	Frag: Wo ist das Hotelrestaurant?	3790.wav	 ***   ***   a room for the hotel bar   
3791	Frag: Zimmer für 2 Nächte	3791.wav	a room card of france
3792	Frag: Doppelzimmer	3792.wav	a double room
3794	Frag: Doppelzimmer	3794.wav	a twin room
3795	Sag: Ich möchte mit Postkarte bezahlen	3795.wav	i would like to pay by master card
3796	Sag: Ich möchte mit Schweizer Franken bezahlen	3796.wav	i would like to pay with master with master card
3797	Sag: Ich möchte mit Schweizer Franken bezahlen	3797.wav	i would like to pay by have from france
3798	Sag: Ich möchte mit Schweizer Franken bezahlen	3798.wav	can i  ***   am from france
3799	Frag: Gibt es einen Coiffeur?	3799.wav	is   ***   a hairdryer 
3800	Frag: ein Ticket zum Piccadilly Circus	3800.wav	i want a ticket to the piccadilly circus
3801	Sag: Ich möchte mit Postkarte bezahlen	3801.wav	i'd like to pay with post card
3802	Sag: Ich möchte mit Pfund bezahlen	3802.wav	i'd like  ***  tickets with pounds
3803	Sag: Mir geht es gut	3803.wav	i'm franc
3804	Frag: Stiefel	3804.wav	i'd like visa 
3805	Frag: Stiefel	3805.wav	i would like some boots
3806	Frag: blaue Stiefel	3806.wav	i would like blue boots
3807	Sag: Ich habe keine Reservation	3807.wav	no i don't have a reservation any
3808	Frag: Zimmer für 3 Nächte	3808.wav	a room for three nights
3809	Frag: Junior Suite	3809.wav	a junior suite
3810	Sag: Ich möchte mit Kreditkarte bezahlen	3810.wav	i want to pay with credit card
3811	Sag: Ich heisse Barbara	3811.wav	my name is barbara
3812	Sag: Ich bin aus Frankreich	3812.wav	***  i'm from france
3813	Sag: Die Hauptstadt von Frankreich ist Paris	3813.wav	the capital of france is paris
3814	Sag: Ich habe 2 jüngere Schwestern	3814.wav	i have two younger sisters
3815	Sag: Ich gehe in die Ferien	3815.wav	i go  ***  into holiday
3816	Sag: Dies ist mein Pass	3816.wav	 ***  is my passport
3817	Sag: Dies ist mein Pass	3817.wav	 the is my passport
3818	Sag: Dies ist mein Pass	3818.wav	yes it is my passport
3819	Frag: 3 Musical-Tickets	3819.wav	musical tickets
3820	Frag: 3 Musical-Tickets	3820.wav	can i have three musical tickets
3822	Frag: 3 Tickets für Starlight Express	3822.wav	i need three tickets for is there a   like a       shirt 
3823	Sag: Ich möchte in der vierten Reihe sitzen	3823.wav	i would like need a     for is nick
3824	Sag: Ich möchte in der vierten Reihe sitzen	3824.wav	i would like to sit in the fourth row
3825	Frag: Tickets für das London Eye	3825.wav	i want tickets for the london eye
3826	Frag: 4 Tickets	3826.wav	i need four tickets
3827	Frag: 3 Musical-Tickets	3827.wav	i need three musical ticket
3828	Frag: ein Ticket für Donnerstagabend	3828.wav	i need a ticket for thursday night
3829	Frag: 3 Tickets für Wicked	3829.wav	i need three tickets for wicked
3830	Frag: Ticket für dieses Musical	3830.wav	i want a ticket for the musical
3831	Frag: Ticket für dieses Musical	3831.wav	i want ticket for this musical
3832	Sag: Ich möchte in der zweiten Reihe sitzen	3832.wav	i want to sit in the second row
3833	Frag: Tickets für Madame Tussauds	3833.wav	i want tickets for madame to go   
3834	Frag: 1 Ticket	3834.wav	i need one ticket
3835	Frag: 1 Musical-Ticket	3835.wav	i need one musical tickets
3836	Frag: ein Ticket für heute Abend	3836.wav	a ticket for nights
3837	Frag: ein Ticket für heute Abend	3837.wav	i want tickets for tuesday evening
3838	Frag: ein Ticket für Mamma Mia	3838.wav	i want a ticket for mamma mia
3839	Frag: Ticket für dieses Musical	3839.wav	i want a ticket for this musical
3840	Sag: Ich möchte vorne sitzen	3840.wav	i want it got a   room
3841	Sag: Ich möchte vorne sitzen	3841.wav	i would like to sit in the front
3842	Frag: Tickets für das British Museum	3842.wav	i need tickets for the british museum
3843	Frag: Tickets für das British Museum	3843.wav	can i also have tickets for the british museum
3844	Frag: 2 Tickets	3844.wav	i need two tickets
3845	Frag: 2 Musical-Tickets	3845.wav	i need two musical tickets
3846	Frag: ein Ticket für Samstagabend	3846.wav	i need a ticket for saturday night
3847	Frag: 2 Tickets für König der Löwen	3847.wav	i need two tickets for the lion king
3848	Sag: Ich möchte vorne sitzen	3848.wav	i want to sit in the room
3849	Frag: Tickets für das Science Museum	3849.wav	i want tickets for the science museum
3850	Frag: 1 Ticket	3850.wav	i need one ticket
3851	Frag: Wo ist das Naturhistorische Museum?	3851.wav	where is the natural history museum
3852	Frag: Wo ist die Oxford Street?	3852.wav	where is the oxford street
3853	Frag: Welcher Bus fährt dorthin?	3853.wav	which bus goes there
3854	Sag: Der Tower ist nahe der Tower Bridge	3854.wav	the tower is near the tower bridge
3855	Frag: Wo ist das Naturhistorische Museum?	3855.wav	where is the natural history museum
3856	Frag: Wo ist Piccadilly Circus?	3856.wav	where is piccadilly circus
3857	Frag: Welcher Bus fährt dorthin?	3857.wav	which bus goes there
3858	Sag: Big Ben ist neben den Houses of Parliament	3858.wav	the big ben is the like the houses of parliament
3859	Frag: Wo ist das Naturhistorische Museum?	3859.wav	where is the natural history museum
3860	Frag: Wo ist der Tower?	3860.wav	***   can you help at the silver level
3861	Frag: Wo ist der Tower?	3861.wav	where is the tower
3862	Sag: Marble Arch ist gegenüber dem Hyde Park	3862.wav	marble arch is the for five green park
3863	Frag: Wo ist die National Gallery?	3863.wav	where is the national gallery
3864	Frag: Wo ist Big Ben?	3864.wav	where is the big ben
3865	Frag: Welcher Bus fährt dorthin?	3865.wav	which bus goes there
3866	Sag: Der Tower ist nahe der Tower Bridge	3866.wav	the tower is near tower bridge
3867	Frag: Wo ist der Zoo?	3867.wav	where is  ***  wien
3868	Frag: Wo ist Madame Tussauds?	3868.wav	where is my sunday roast 
3869	Frag: Welcher Bus fährt dorthin?	3869.wav	which bus goes there
3870	Sag: Der Tower ist nahe der Tower Bridge	3870.wav	the tower is near tower bridge
3871	Frag: einen Orangensaft	3871.wav	i want a an orange juice
3872	Frag: einen Orangensaft	3872.wav	i want an orange juice
3873	Frag: einen Hamburger	3873.wav	i want a hamburger
3874	Frag: meinen Hamburger rare	3874.wav	i want my hamburger rein
3875	Frag: Erbsen	3875.wav	i want please
3876	Frag: Erbsen	3876.wav	i want please
3877	Frag: Erbsen	3877.wav	i would like   ***  four
3878	Frag: Ich möchte die Dessertkarte	3878.wav	yes can i have the dessert card
3879	Frag: Ich möchte die Dessertkarte	3879.wav	can i have the dessert card
3880	Frag: Ich möchte die Dessertkarte	3880.wav	the dessert menu please
3882	Frag: Karrotenkuchen	3882.wav	can i have  ***  carrot cake
3883	Frag: Ich möchte die Rechnung	3883.wav	i would like the bill
3888	Sag: Ich habe keine Reservation	3888.wav	no i  ***  ***  have a      ***    
3889	Frag: Zimmer für 2 Nächte	3889.wav	a room  ***  ***    *** 
3890	Frag: Suite	3890.wav	***   ***  a suite
3891	Sag: Ich möchte mit Mastercard bezahlen	3891.wav	i   ***    ***  pay with mastercard
3892	Sag: Ich möchte mit Mastercard bezahlen	3892.wav	***   ***   ***     ***  
3893	Frag: Zimmer für 1 Woche	3893.wav	i would like a room for want a   suite
3894	Frag: Suite	3894.wav	i'd like a suite
3896	Frag: Gibt es einen Lebensmittelladen?	3896.wav	is there a grocery store
3897	Frag: Wo ist der Lebensmittelladen?	3897.wav	where is the grocery store
3898	Frag: 1 Musical-Ticket	3898.wav	can i have one musical tickets
3899	Frag: 1 Musical-Ticket	3899.wav	a ticket for wednesday evening
3900	Frag: ein Ticket für morgen Abend	3900.wav	a ticket for the
3901	Frag: ein Ticket für morgen Abend	3901.wav	***  tickets for morning nights
3902	Frag: ein Ticket für morgen Abend	3902.wav	***  tickets for tomorrow night
3903	Frag: ein Ticket für Starlight Express	3903.wav	i would like a ticket for starlight express
3904	Frag: ein Ticket für Starlight Express	3904.wav	***  tickets for starlight express
3905	Frag: ein Ticket für Starlight Express	3905.wav	a ticket for starlight express
3906	Sag: Ich möchte in der Mitte sitzen	3906.wav	i want to sit in the middle
3907	Frag: Tickets für das London Eye	3907.wav	can i have tickets for the london eye
3908	Frag: 4 Tickets	3908.wav	i need four tickets
3909	Sag: Mir geht es gut	3909.wav	i'm fine
3910	Frag: Stiefel	3910.wav	i would boots
3911	Frag: weisse Stiefel	3911.wav	i want white boots
3912	Frag: Grösse 36	3912.wav	thirty tickets 
3913	Frag: ein T-Shirt	3913.wav	i want a tee shirt 
3914	Frag: ein gelbes T-Shirt	3914.wav	i want a yellow tee shirt 
3915	Frag: eine L	3915.wav	big
3916	Frag: eine L	3916.wav	great
3917	Frag: eine L	3917.wav	i am a large
3918	Frag: Wie viel kostet es?	3918.wav	how much is nick
3919	Sag: Dies ist zu teuer	3919.wav	that's too expensive
3920	Sag: Mir geht es gut	3920.wav	***  i'm fine
3921	Frag: Sandalen	3921.wav	i want sunday row  
3922	Frag: rote Sandalen	3922.wav	i want red sandals
3923	Frag: Grösse 38	3923.wav	thirty eight   
3924	Frag: ein T-Shirt	3924.wav	i want a tee shirt 
3925	Frag: ein gelbes T-Shirt	3925.wav	i want a yellow tee shirt 
3926	Frag: eine L	3926.wav	where it 
3927	Frag: eine L	3927.wav	great
3928	Frag: eine L	3928.wav	i am a large
3929	Frag: Wie viel kostet es?	3929.wav	how much is nick
3930	Sag: Das T-Shirt ist zu teuer	3930.wav	the tee shirt is too expensive
3931	Sag: Mir geht es gut	3931.wav	i'm fine
3932	Frag: Stiefel	3932.wav	i would boots
3933	Frag: braune Stiefel	3933.wav	i want brown boots
3934	Frag: Grösse 39	3934.wav	thirty nine   
3935	Frag: ein T-Shirt	3935.wav	i want a tee shirt 
3936	Frag: ein braunes T-Shirt	3936.wav	i want a brown tee shirt 
3938	Frag: Wie viel kostet das T-Shirt?	3938.wav	how much is the tee shirt 
3940	Sag: Mir geht es gut	3940.wav	i'm fine
3941	Frag: Sandalen	3941.wav	i want sunday roast 
3942	Frag: weisse Sandalen	3942.wav	i want white sandals
3943	Frag: Grösse 44	3943.wav	forty four   
3944	Frag: Hosen	3944.wav	i will pants
3945	Frag: Hosen	3945.wav	i'm looking for trousers
3946	Frag: rote Hosen	3946.wav	i want red trousers
3947	Frag: eine S	3947.wav	 four
3948	Frag: Wie viel kostet die Hose?	3948.wav	how much i   want the row  
3949	Frag: Wie viel kostet die Hose?	3949.wav	how much does the grocer pool
3950	Sag: Die Hose ist zu teuer	3950.wav	where is is too expensive
3952	Sag: Ich heisse Sarah	3952.wav	my name is sarah
3953	Sag: Ich bin aus Italien	3953.wav	***  i'm from italy
3954	Sag: Die Hauptstadt von Italien ist Rom	3954.wav	the capital of italy is rome
3955	Sag: Ich habe 1 Bruder	3955.wav	i have a brothers
3956	Sag: Ich habe 1 Bruder	3956.wav	i have one brother
3958	Sag: Dies ist mein Pass	3958.wav	 ***  is my passport
3959	Sag: Dies ist mein Pass	3959.wav	yes it is my passport
3960	Sag: Ich heisse Michelle	3960.wav	my name is sarah 
3961	Sag: Ich bin aus Deutschland	3961.wav	***  i'm from germany
3962	Sag: Die Hauptstadt von Deutschland ist Berlin	3962.wav	the capital of germany is berlin
3963	Sag: Ich habe 4 ältere Brüder	3963.wav	i have four older brothers
3966	Sag: Dies ist mein Pass	3966.wav	***  ***  is my passport
3967	Frag: ein Ticket zum Green Park	3967.wav	i need a ticket to green park
3968	Sag: Ich möchte mit Kreditkarte bezahlen	3968.wav	i would like to pay by credit card
3969	Frag: 2 Tickets nach London	3969.wav	i need two tickets to london
3970	Sag: Ich möchte am Freitagmorgen abreisen	3970.wav	i want to leave on friday morning
3971	Sag: Ich heisse Silvia	3971.wav	my name  ***  silvia
3972	Sag: Ich bin aus England	3972.wav	***  i'm from england
3973	Frag: 6 Tickets nach London	3973.wav	i need six tickets to london
3974	Sag: Ich möchte am Freitagabend abreisen	3974.wav	i want to leave on friday night
3975	Sag: Ich heisse Stephanie	3975.wav	my name is the room  
3976	Sag: Ich bin aus Deutschland	3976.wav	***  i'm from germany
3977	Frag: 2 Tickets nach London	3977.wav	i need two tickets to london
3978	Sag: Ich möchte um 8 Uhr morgen abreisen	3978.wav	i want to leave at eight o'clock tomorrow
3979	Frag: Wie viel kostet es?	3979.wav	***   ***   a ticket
3980	Frag: billigeres Ticket	3980.wav	i want a   cheap ticket
3981	Sag: Das ist okay	3981.wav	this is okay
3982	Sag: Ich heisse Paul	3982.wav	my name is paul
3983	Sag: Ich bin aus Australien	3983.wav	***  i'm from australia
3986	Sag: Ich habe keine Reservation	3986.wav	no i don't no i do not have a reservation
3987	Frag: Zimmer für 6 Nächte	3987.wav	a room for six nights
3988	Frag: Doppelzimmer	3988.wav	a double room
3989	Frag: Doppelzimmer	3989.wav	i would like a double room
3991	Frag: Gibt es einen Lift?	3991.wav	is there a lift
3992	Frag: 2 Musical-Tickets	3992.wav	i need two musical tickets
3993	Frag: 2 Tickets für Sonntagabend	3993.wav	i need two tickets for sunday night
3995	Sag: Ich möchte in der fünften Reihe sitzen	3995.wav	i would like to sit in the fifth row
3996	Frag: Tickets für das Science Museum	3996.wav	i need tickets for the science museum
3997	Frag: 1 Ticket	3997.wav	i need want tickets
3998	Frag: 2 Musical-Tickets	3998.wav	i need two musical ticket
3999	Frag: 2 Tickets für heute Abend	3999.wav	i need two tickets for tonight
4000	Frag: 2 Tickets für Mamma Mia	4000.wav	i need two tickets for mamma mia
4001	Frag: Ticket für dieses Musical	4001.wav	i need    ***    ticket ticket for this musical
4002	Frag: Ticket für dieses Musical	4002.wav	i need a ticket for this musical
4003	Sag: Ich möchte hinten sitzen	4003.wav	i want to sit in the back
4004	Frag: Tickets für das British Museum	4004.wav	i need tickets for the british museum
4005	Frag: 3 Tickets	4005.wav	i need three tickets
4006	Frag: Zimmer für 5 Nächte	4006.wav	i want a room for five nights
4007	Frag: Twinzimmer	4007.wav	i want a double room
4008	Frag: Twinzimmer	4008.wav	a twin room please
4009	Sag: Ich möchte mit Visa bezahlen	4009.wav	can i pay with visa
4010	Sag: Ich möchte mit Euros bezahlen	4010.wav	i would pay with euros
4011	Frag: Gibt es ein Hotelrestaurant?	4011.wav	 i there a hotel restaurant
4012	Frag: Gibt es ein Hotelrestaurant?	4012.wav	is there a hotel restaurant
4014	Sag: Ich habe keine Reservation	4014.wav	i have no reservation
4015	Sag: Ich habe keine Reservation	4015.wav	no i don't no i do not have a reservation
4016	Sag: Ich habe keine Reservation	4016.wav	no i don't have a reservation
4017	Frag: Zimmer für 2 Nächte	4017.wav	a room for two nights
4018	Frag: Suite	4018.wav	i'd like a suite
4019	Sag: Ich möchte mit Visa bezahlen	4019.wav	can i pay with visa
4020	Frag: Gibt es einen Lift?	4020.wav	is there a a lift
4021	Frag: Zimmer für 3 Nächte	4021.wav	a room for three nights
4022	Frag: Junior Suite	4022.wav	i'd like a junior suite
4023	Sag: Ich möchte mit Visa bezahlen	4023.wav	can i pay with visa
4024	Frag: Gibt es einen Lebensmittelladen?	4024.wav	is there a grocery store
4025	Frag: Wo ist der Lebensmittelladen?	4025.wav	where is the grocery store
4026	Frag: Einzelzimmer	4026.wav	i would like a single room
4028	Frag: Gibt es einen Coiffeur?	4028.wav	is there a hairdresser
4029	Frag: Wo ist der Coiffeur?	4029.wav	where is the hairdresser
4030	Frag: Zimmer für 5 Nächte	4030.wav	***   for the room for five nights
4031	Frag: Wo ist der Coiffeur?	4031.wav	where is the hairdresser
4032	Frag: Zimmer für 5 Nächte	4032.wav	a room for five nights
