Id,RecResult,Confidence
74,where is the hotel restaurant,1.0 1.0 1.0 1.0 1.0
76,i would like one ticket please,1.0 1.0 1.0 1.0 1.0 1.0
77,i would like a steak,1.0 1.0 1.0 0.97 1.0
78,i would like five to i would like my steak blue,1.0 1.0 1.0 0.76 0.52 1.0 1.0 1.0 1.0 1.0 0.92
80,i have no reservation,1.0 1.0 1.0 1.0
81,i have no reservation,1.0 0.98 0.95 1.0
82,no i don't have a reservation,1.0 1.0 0.98 1.0 1.0 0.76
83,no i row roast have a reservation,0.9 0.88 0.9 0.9 1.0 1.0 1.0
84,a room for four nights,1.0 1.0 1.0 1.0 1.0
85,i want a room for four nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0
86,junior suite,1.0 1.0
87,can i pay with credit card,1.0 1.0 1.0 1.0 1.0 1.0
88,is there a swimming pool,1.0 1.0 1.0 1.0 1.0
89,where is the swimming pool,1.0 1.0 1.0 1.0 1.0
90,four tickets to london,1.0 1.0 1.0 1.0
91,i want to leave at eight o'clock tomorrow,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
92,i want to leave at eight o'clock tomorrow,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
93,i want to leave at eight o'clock tomorrow,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
94,my name is jack,1.0 1.0 1.0 1.0
96,my name is barbara,1.0 1.0 1.0 1.0
97,i am from england what i am from england,1.0 1.0 1.0 1.0 0.27 1.0 1.0 1.0 1.0
98,i want a ticket to piccadilly circus,1.0 1.0 1.0 1.0 1.0 1.0 1.0
99,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
100,no i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0 1.0
101,i would like a room for seven nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
102,a suite,1.0 1.0
103,i would pay with the credit card,1.0 1.0 1.0 1.0 0.94 1.0 1.0
104,is there a hotel restaurant,1.0 1.0 0.99 1.0 1.0
105,where is the hotel restaurant,1.0 1.0 1.0 1.0 1.0
106,my bathroom is dirty,1.0 1.0 1.0 1.0
107,where is the hairdryer,1.0 1.0 1.0 1.0
108,where can i buy a hairdryer,1.0 1.0 1.0 1.0 1.0 1.0
109,four tickets to london please,1.0 1.0 1.0 1.0 1.0
110,i would i want i want leave at two pm,1.0 0.99 1.0 0.99 1.0 1.0 1.0 1.0 1.0 0.79
111,i want to leave at two o'clock,1.0 1.0 1.0 1.0 1.0 0.99 1.0
112,my name is patrick,1.0 1.0 1.0 1.0
113,i am from england,0.57 0.57 1.0 1.0
114,five tickets to london,1.0 1.0 1.0 1.0
115,i want to leave at thursday afternoon,1.0 1.0 1.0 1.0 1.0 1.0 1.0
116,my name is paula paolo,1.0 1.0 1.0 1.0 1.0
117,i'm from canada,0.87 1.0 1.0
118,i need a hotel room for seven nights,0.92 0.9 0.91 0.94 1.0 1.0 0.98 1.0
119,i need a junior suite,1.0 1.0 1.0 1.0 1.0
120,i want pay with credit card,1.0 0.99 1.0 1.0 1.0 1.0
121,i want pay with post card,1.0 0.82 1.0 1.0 0.96 0.96
122,i want to pay with post card,1.0 1.0 0.95 1.0 1.0 0.95 0.95
123,is there a grocery store,1.0 1.0 1.0 1.0 1.0
124,i don't have any reservation,1.0 1.0 1.0 1.0 1.0
125,i don't have any reservation i i i i don't have any reservation,1.0 1.0 1.0 1.0 1.0 0.99 1.0 0.37 1.0 1.0 1.0 0.99 1.0
126,no i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0 1.0
127,i have a reservation,1.0 0.55 0.95 1.0
128,no i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0 1.0
129,i want a room for four nights,1.0 1.0 0.99 1.0 1.0 1.0 1.0
130,a single room please,1.0 1.0 1.0 1.0
132,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
133,no i don't have a reservation,1.0 1.0 1.0 1.0 1.0 1.0
134,i want a room for one week,1.0 1.0 0.99 1.0 1.0 1.0 1.0
135,i would like a double room,1.0 1.0 1.0 1.0 1.0 1.0
136,carbonated hotel,1.0 0.67
137,i don't have a reservation,1.0 1.0 1.0 0.99 1.0
138,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
139,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
142,a room for two nights,1.0 1.0 1.0 0.92 1.0
143,single room,1.0 1.0
144,i want to pay with mastercard,1.0 1.0 1.0 1.0 1.0 0.95
145,i want to pay with dollars,1.0 1.0 0.73 1.0 1.0 1.0
146,i want to pay with dollars,1.0 1.0 1.0 1.0 1.0 1.0
147,can i pay with dollars,1.0 1.0 1.0 1.0 1.0
148,is there a grocery store,1.0 1.0 1.0 1.0 1.0
149,can i have a ticket to london,1.0 1.0 1.0 0.89 0.82 1.0 1.0
150,five tickets to london,1.0 1.0 1.0 1.0
151,can i have five tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
152,i would like five buy with visa,1.0 1.0 1.0 0.45 0.55 0.56 0.53
153,i would like to leave on friday morning,1.0 1.0 1.0 0.81 1.0 1.0 1.0 1.0
154,my name is nick,1.0 1.0 1.0 1.0
155,my nationality is jack,1.0 1.0 0.94 0.68
156,i come from from spain,1.0 1.0 1.0 0.99 0.5
157,my name is paolo,1.0 1.0 1.0 0.94
158,i came from america,1.0 0.91 1.0 0.98
160,i would like a ticket to,1.0 1.0 1.0 0.94 0.96 0.91
161,could you give me a ticket to westminster,1.0 1.0 1.0 1.0 1.0 1.0 0.83 0.27
162,i pay with credit card,1.0 1.0 0.89 1.0 1.0
163,can i pay by credit card,1.0 1.0 1.0 1.0 0.98 0.98
165,i would like tickets for tuesday night,1.0 1.0 1.0 0.83 1.0 0.98 1.0
166,i would like tickets for thursday evening,1.0 1.0 1.0 0.96 1.0 1.0 0.99
167,i would like tickets for tuesday night,1.0 1.0 1.0 0.84 1.0 1.0 1.0
168,i want four tickets for starlight express,1.0 1.0 1.0 1.0 1.0 1.0 1.0
169,i want sit in the eighth row,1.0 1.0 1.0 1.0 1.0 0.84 1.0
170,i would like sit in the eighth row,1.0 1.0 1.0 1.0 1.0 1.0 0.77 1.0
171,can i also have tickets for the london eye,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
172,one ticket please,0.99 1.0 1.0
173,i would like one ticket,1.0 1.0 1.0 1.0 1.0
174,i would like a coffee,1.0 1.0 1.0 1.0 1.0
175,i would like a steak,1.0 1.0 1.0 0.9 1.0
176,i would like to newly my steak blue,1.0 1.0 1.0 0.53 0.21 1.0 1.0 0.99
177,i would like my steak blue,1.0 1.0 1.0 1.0 1.0 0.89
178,could i have some green,1.0 1.0 1.0 1.0 0.53
179,i want a dessert card,1.0 1.0 0.76 0.94 1.0
180,the dessert menu please,1.0 1.0 1.0 1.0
181,i would like the lemon card,1.0 1.0 1.0 0.99 1.0 0.48
182,i would like the check,1.0 1.0 1.0 1.0 1.0
183,i want to pay with visa,1.0 1.0 1.0 1.0 1.0 1.0
184,can i pay with visa,1.0 1.0 1.0 1.0 1.0
187,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
191,germany isn't mushroom,0.77 0.45 0.31
216,for seven nights,1.0 1.0 1.0
217,a room for seven nights,1.0 1.0 1.0 1.0 1.0
218,a single room,0.74 1.0 1.0
219,i would pay with mastercard,1.0 0.93 1.0 1.0 0.95
220,i would i would pay with mastercard,1.0 0.58 1.0 0.8 1.0 1.0 0.96
221,can i pay with mastercard,1.0 1.0 1.0 1.0 0.97
222,is there a swimming pool,1.0 1.0 1.0 1.0 1.0
223,where is the swimming pool,1.0 0.97 0.97 1.0 1.0
224,six tickets to london,1.0 1.0 1.0 1.0
225,i would leave at sunday afternoon,1.0 0.97 1.0 1.0 1.0 1.0
226,i want to go at sunday afternoon,1.0 0.94 0.94 0.94 0.99 1.0 1.0
227,i want my name is silvia,0.81 0.79 1.0 1.0 1.0 0.93
228,my name is silvia,1.0 1.0 1.0 0.93
229,i am from germany,0.98 0.59 1.0 1.0
231,i don't have a reservation,1.0 0.66 0.98 0.97 1.0
232,i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0
234,could i have a ticket to the trafalgar square,1.0 1.0 1.0 1.0 1.0 1.0 0.95 1.0 1.0
238,i would like to stay for six nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
239,a double room please,1.0 1.0 1.0 1.0
240,i would like to pay with the credit card,1.0 1.0 1.0 1.0 1.0 1.0 0.9 1.0 1.0
241,do you have a hotel bar,1.0 1.0 1.0 1.0 1.0 1.0
242,i would like to have two tickets to london,1.0 1.0 1.0 0.97 0.98 1.0 1.0 1.0 1.0
243,can i have two tickets to london please,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
244,i would like to leave tomorrow,1.0 1.0 1.0 1.0 1.0 1.0
245,my name is andy,1.0 1.0 1.0 1.0
246,i am from england,0.98 0.94 1.0 1.0
247,i am from england,0.99 0.45 1.0 1.0
248,i coming from england,0.82 0.8 1.0 1.0
249,my name is michelle,1.0 1.0 1.0 1.0
250,i'm from ireland,0.75 1.0 1.0
251,can i have a ticket to the green park please,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
252,can i pay with the credit card please,1.0 1.0 1.0 1.0 0.81 1.0 1.0 1.0
253,i would like to pay with swiss francs,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
254,can i have two tickets for the musical,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
255,can i have two musical tickets,1.0 1.0 1.0 1.0 1.0 1.0
256,i would like to go tomorrow,1.0 1.0 1.0 1.0 1.0 1.0
257,i would like to have two tickets for starlight express,1.0 1.0 1.0 0.95 0.96 1.0 1.0 1.0 1.0 1.0
258,two tickets for starlight express,1.0 1.0 1.0 1.0 1.0
259,i would like to sit in the seventh row,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
260,do you have tickets for the national gallery,1.0 1.0 1.0 0.96 1.0 1.0 1.0 1.0
261,one ticket please,1.0 1.0 1.0
262,one ticket,1.0 1.0
263,one ticket,1.0 1.0
264,i would like to have a cola,1.0 1.0 1.0 1.0 1.0 1.0 1.0
265,i would like to leave a hamburger,1.0 1.0 1.0 0.99 0.58 0.72 1.0
266,i would like my hamburger rare,1.0 1.0 1.0 1.0 1.0 1.0
267,i would like my hamburger soup,1.0 1.0 1.0 1.0 1.0 0.44
268,i would like to have a mixed salad,1.0 1.0 1.0 1.0 1.0 0.98 1.0 1.0
269,can i have the dessert card,1.0 1.0 1.0 1.0 1.0 1.0
270,can i have the dessert card,1.0 1.0 1.0 1.0 1.0 1.0
271,can i have the card,1.0 1.0 1.0 1.0 1.0
272,where is the tate modern,1.0 1.0 1.0 1.0 1.0
273,where is the oxford street,1.0 1.0 1.0 1.0 1.0
274,which bus drives there,1.0 1.0 1.0 1.0
275,this is near of the bank of england,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
276,i'm fine,0.94 1.0
277,i would like to have boots,1.0 1.0 1.0 0.99 1.0 1.0
278,do you have boots,1.0 1.0 1.0 0.99
279,i would like brown boots,1.0 1.0 1.0 1.0 1.0
280,thirty seven,0.99 0.99
281,do you have a t-shirt,1.0 1.0 1.0 1.0 0.99
282,i would like to have a t-shirt,1.0 1.0 1.0 1.0 1.0 1.0 0.94
283,i would like a brown t-shirt,1.0 1.0 1.0 1.0 1.0 1.0
284,big,0.99
285,large,1.0
286,how much cost this,1.0 1.0 1.0 1.0
287,how much cost costed,1.0 1.0 0.75 0.22
288,the t-shirt is too expensive,1.0 1.0 1.0 1.0 1.0
289,my name is patrick,1.0 1.0 1.0 1.0
290,i'm from germany,0.8 1.0 0.9
291,the capital city of germany is berlin,1.0 1.0 1.0 1.0 0.95 1.0 1.0
292,i have two sisters,1.0 1.0 1.0 1.0
293,i go into the holidays,1.0 1.0 1.0 1.0 1.0
294,this is my passport,1.0 1.0 1.0 1.0
295,this is my pass,1.0 1.0 1.0 0.79
296,this is my pass,0.98 1.0 1.0 0.99
297,a room for five nights,0.94 1.0 1.0 1.0 1.0
298,twin room,1.0 1.0
299,i would with mastercard,1.0 0.48 0.67 0.68
300,i want buy with mastercard,1.0 1.0 1.0 1.0 0.94
301,i would buy with post card,1.0 1.0 1.0 1.0 0.5 0.51
302,i'm dessert a hotel restaurant,0.52 0.69 0.7 1.0 1.0
303,is there a hotel restaurant,1.0 1.0 1.0 1.0 1.0
304,yes i have a oh i no i have no reservation,1.0 1.0 1.0 0.99 0.32 0.72 0.98 1.0 1.0 1.0 1.0
305,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
306,no i don't have a reservation,1.0 1.0 1.0 1.0 1.0 1.0
307,a room for five nights,1.0 1.0 1.0 1.0 1.0
308,twin room,1.0 1.0
309,i would like a double room,1.0 1.0 1.0 1.0 1.0 1.0
310,i would buy with,1.0 1.0 1.0 1.0
312,i would like to pay with post card,1.0 1.0 1.0 1.0 1.0 1.0 0.91 0.91
314,is there a fitness studio,0.99 0.98 0.97 1.0 1.0
315,where is the zoo where is the fitness studio where where trafalgar where where is the fitness studio,0.55 0.6 0.61 0.25 0.86 1.0 1.0 1.0 1.0 0.93 0.49 0.34 0.36 1.0 1.0 1.0 1.0 1.0
316,i want two tickets to london,1.0 1.0 0.95 0.99 1.0 1.0
317,i would like two tickets,1.0 1.0 1.0 0.93 0.93
318,i would like two tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
319,i would like to leave tomorrow,1.0 1.0 1.0 0.99 1.0 1.0
320,i'm thomas,0.61 0.92
321,my name is thomas,1.0 1.0 1.0 1.0
322,i am from scotland,1.0 1.0 1.0 1.0
323,can i have a room for three nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
324,can i have one room,1.0 1.0 1.0 1.0 0.92
325,a single room please,0.82 1.0 1.0 1.0
326,i want to pay with mastercard please,1.0 1.0 0.99 1.0 1.0 0.99 1.0
327,can i pay by mastercard,1.0 1.0 1.0 1.0 0.97
328,is there a swimming pool,1.0 1.0 1.0 1.0 1.0
329,i would like three tickets to london,1.0 1.0 1.0 0.92 1.0 1.0 1.0
330,i want to leave at three pm tomorrow,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
331,i am janet,0.7 0.69 0.72
332,my name is janet,1.0 1.0 1.0 1.0
333,i am from turkey,0.92 0.92 1.0 1.0
334,i want a room for five nights,1.0 1.0 0.95 1.0 1.0 1.0 1.0
335,a single room please,1.0 1.0 1.0 1.0
336,i want to pay with visa,1.0 0.91 0.7 1.0 1.0 1.0
337,can i pay with visa,1.0 1.0 1.0 1.0 1.0
338,is there a swimming pool,1.0 1.0 1.0 1.0 1.0
339,where is it,1.0 1.0 0.65
340,i don't have a reservation,1.0 1.0 1.0 0.99 1.0
341,no i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0 1.0
342,i want to stay for four nights,1.0 1.0 0.99 1.0 1.0 1.0 1.0
343,i want a room for four nights,1.0 1.0 0.98 1.0 1.0 1.0 1.0
344,i want a suite please,1.0 1.0 0.99 1.0 1.0
345,can i pay by mastercard,1.0 1.0 1.0 1.0 0.97
346,i want pay with euros,1.0 0.98 1.0 1.0 0.56
347,can i pay with euros,1.0 1.0 1.0 1.0 0.9
348,is there a lift,1.0 1.0 1.0 1.0
349,i'm fine,0.78 1.0
350,i want some boots,1.0 1.0 0.96 1.0
351,i want to have brown boots,1.0 0.98 0.54 1.0 0.89 0.94
352,i want a coffee,1.0 1.0 0.99 1.0
353,i would like a coffee,1.0 1.0 1.0 1.0 1.0
354,i want the steak,1.0 1.0 0.78 1.0
355,i would like my steak medium,1.0 1.0 1.0 1.0 1.0 1.0
356,i would like a baked potato,1.0 1.0 1.0 1.0 0.98 1.0
357,the dessert menu,1.0 1.0 1.0
358,i would like the for the with raspberry,1.0 1.0 1.0 0.84 0.62 1.0 0.91 0.97
359,i would like the raspberry sorbet,1.0 1.0 1.0 1.0 1.0 1.0
360,i would like the raspberry sorbet,1.0 1.0 1.0 0.99 1.0 1.0
361,i would like boots,1.0 1.0 1.0 0.68
362,i would like the check,1.0 1.0 1.0 0.86 0.86
364,i would like to pay by mastercard,1.0 1.0 1.0 1.0 1.0 1.0 0.98
367,no i do not have a reservation,1.0 1.0 1.0 0.58 1.0 1.0 1.0
368,i want a room for seven nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0
369,a twin room please,1.0 1.0 1.0 1.0
370,can i pay with mastercard,1.0 1.0 1.0 0.63 0.97
371,is there a grocery store,1.0 1.0 1.0 1.0 1.0
372,where is the grocery store,1.0 1.0 1.0 1.0 1.0
373,no i do not have a reservation,1.0 1.0 0.98 1.0 1.0 1.0 1.0
374,no i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0 1.0
375,i want a room for seven nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0
376,a room for four nights,0.89 1.0 1.0 1.0 1.0
377,a room for four nights,0.87 1.0 1.0 1.0 1.0
378,a room for four nights,0.53 0.99 1.0 1.0 1.0
379,i want a suite,0.99 0.93 0.98 0.99
380,a suite,1.0 1.0
381,i want a suite,1.0 0.99 1.0 1.0
382,i want to pay with mastercard,1.0 1.0 1.0 1.0 1.0 0.92
383,i want to pay with mastercard,1.0 1.0 1.0 1.0 1.0 0.98
384,can i pay with mastercard,1.0 1.0 1.0 1.0 0.97
385,do you have a lift,0.87 0.87 0.87 0.87 0.97
386,i want a ticket to the green four,1.0 1.0 1.0 0.99 0.99 0.95 0.44 0.48
387,i need a ticket to green park,1.0 1.0 1.0 1.0 1.0 1.0 1.0
388,can i pay with credit card,1.0 1.0 1.0 1.0 1.0 1.0
389,i want pay with dollars,0.96 0.89 1.0 1.0 1.0
390,i'm fine,0.53 0.64
391,i'm good,0.8 0.99
392,i would like the bill,1.0 1.0 1.0 0.95 0.71
393,i would like brown sandals,0.58 0.47 0.98 0.97 1.0
394,i'd like brown sandals,1.0 1.0 1.0 1.0
395,i want thirty dollars,1.0 0.25 0.42 0.49
396,i am a thirty-seven,0.98 0.78 0.72 0.68
397,i want a thirty dollars,0.96 0.57 0.83 0.48 0.85
398,i haven't reservation,1.0 1.0 1.0
399,no i haven't a reservation,0.68 0.79 1.0 1.0 1.0
400,no i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0 1.0
401,room for four nights,1.0 1.0 1.0 1.0
402,susan,0.5
403,a twin room,1.0 1.0 1.0
404,i would room my blue boots,0.64 0.73 0.58 0.25 0.68 0.69
405,i need to go,1.0 0.56 0.62 0.48
406,can i pay by blue boots,1.0 1.0 1.0 0.95 0.78 0.8
407,is there a hotel pool,1.0 1.0 0.91 1.0 0.54
408,i would like a room for two nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
409,i would like a single room,1.0 1.0 1.0 0.98 0.97 1.0
410,can i pay with post card,0.95 1.0 0.89 0.79 0.86 0.93
412,i would like pay by post card,1.0 1.0 1.0 0.97 0.94 0.99 0.99
413,is there a grocery store,0.99 1.0 1.0 1.0 1.0
415,no i haven't a reservation,1.0 1.0 1.0 1.0 1.0
416,i would like a room for two nights,1.0 1.0 1.0 0.98 1.0 1.0 1.0 1.0
417,i would like a double room,1.0 1.0 1.0 1.0 1.0 1.0
418,i would like to pay by credit card,1.0 1.0 1.0 1.0 1.0 0.99 1.0 0.99
419,is there a grocery room,0.95 0.96 0.69 0.98 1.0
420,where is the grocery store,1.0 1.0 1.0 1.0 1.0
421,my room is dirty,0.62 1.0 1.0 1.0
422,one room the sandals some boots,0.16 0.99 0.46 0.48 0.99 0.99
423,there is no shampoo in the room,0.77 1.0 1.0 1.0 0.94 0.8 1.0
424,where can i buy shampoo,1.0 1.0 1.0 1.0 0.68
425,a room for seven nights,0.68 1.0 1.0 1.0 1.0
426,at nights room for seven nights,0.39 0.82 1.0 1.0 1.0 1.0
427,a twin room,1.0 1.0 1.0
428,i would like to pay by credit card,1.0 1.0 1.0 1.0 1.0 0.68 1.0 0.99
429,is there a hotel bar,1.0 1.0 0.67 1.0 1.0
430,where is the hotel room,1.0 1.0 1.0 1.0 1.0
431,i would like a room for five nights,1.0 1.0 1.0 0.99 1.0 1.0 1.0 1.0
432,i would like a double room,1.0 1.0 1.0 1.0 1.0 1.0
433,i would like to pay by credit card,1.0 1.0 1.0 1.0 1.0 0.95 1.0 1.0
434,is there a grocery pool,0.97 0.97 0.96 0.95 0.42
435,i would like a room for six nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
436,i would like a suite,1.0 1.0 1.0 0.64 0.68
437,i'd like a suite,0.74 0.87 0.56 0.52
438,a tea,0.89 0.77
439,i would like to pay by visa,1.0 1.0 1.0 1.0 1.0 1.0 0.81
440,is there a hotel restaurant,1.0 1.0 0.89 1.0 1.0
441,i would like a room for one room,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.89
442,i'd like a twin zimmer,0.91 1.0 1.0 1.0 0.57
443,i would pay by post card,1.0 0.62 0.87 0.98 0.98 0.98
444,can i pay by post card,1.0 1.0 1.0 1.0 0.99 0.99
446,is there a swimming pool,1.0 1.0 0.97 1.0 1.0
447,where is the swimming pool,1.0 1.0 1.0 1.0 1.0
448,my room is dirty,1.0 1.0 1.0 1.0
449,there is no shower museum room,0.92 1.0 0.97 0.75 0.83 1.0
450,in the room is no shampoo in,0.53 0.8 1.0 1.0 1.0 0.92 0.55
451,there is no shampoo in museum room,0.92 0.92 0.65 0.65 0.38 0.66 1.0
452,no i haven't a reservation,1.0 1.0 1.0 0.99 1.0
453,i would like a room for five nights,0.54 0.52 1.0 1.0 1.0 1.0 1.0 1.0
454,i would like a double room,1.0 1.0 1.0 1.0 1.0 1.0
455,i want to pay by credit card,1.0 1.0 1.0 1.0 1.0 1.0 1.0
456,i would like to pay by credit card,0.57 0.48 1.0 1.0 1.0 1.0 1.0 1.0
457,i want to pay by euro,1.0 0.99 1.0 1.0 1.0 0.95
458,i'd like to pay by room room,0.97 1.0 1.0 1.0 1.0 0.41 0.99
459,can i pay with euro,1.0 1.0 1.0 1.0 1.0
460,is there a hairdresser,1.0 1.0 0.98 1.0
461,where is the hairdresser,1.0 1.0 1.0 1.0
462,i'd like a room for three nights,0.93 1.0 1.0 1.0 1.0 1.0 1.0
464,i would like a junior suite,0.89 0.89 1.0 1.0 1.0 1.0
465,i'd like to pay by mastercard,0.97 0.99 1.0 1.0 1.0 0.94
466,can i pay with swiss francs,1.0 1.0 1.0 0.56 0.99 0.59
467,is there a swimming pool,1.0 1.0 0.99 1.0 1.0
468,where is the swimming pool,1.0 1.0 1.0 1.0 1.0
469,a ticket to westminster,0.99 1.0 1.0 1.0
470,i'd like to pay by visa,0.98 0.99 1.0 1.0 1.0 1.0
471,can i pay by visa,1.0 1.0 1.0 1.0 1.0
472,i would like to pay by visa,1.0 1.0 1.0 1.0 1.0 0.99 1.0
473,can i pay by dollars,1.0 1.0 1.0 0.75 0.39
474,i'd like a ticket to westminster,0.81 0.89 0.97 1.0 1.0 1.0
475,i'd like a ticket to westminster,0.82 0.99 1.0 1.0 1.0 1.0
476,i'd like to pay by post card,0.97 1.0 1.0 1.0 0.9 0.99 0.99
477,can i pay by swiss francs,1.0 1.0 1.0 0.82 1.0 0.85
479,i'd like a ticket to the green park,0.99 1.0 0.63 0.64 1.0 0.97 1.0 1.0
480,can i pay by post card,1.0 1.0 1.0 0.96 0.99 0.99
481,can i pay with pounds,1.0 1.0 1.0 1.0 1.0
482,i only have large notes,1.0 0.99 1.0 1.0 0.99
483,i pay with credit card,0.99 1.0 1.0 1.0 1.0
484,can i pay with credit card,0.51 0.95 1.0 1.0 1.0 1.0
485,i like a ticket to westminster,0.59 0.75 0.99 1.0 1.0 1.0
486,i would like a ticket to westminster,0.88 0.82 0.95 0.97 1.0 1.0 1.0
487,i'd like to pay by credit card,0.99 1.0 1.0 1.0 1.0 1.0 1.0
488,can i pay with euro,1.0 1.0 1.0 1.0 0.75
489,i wish to pay with euro,1.0 1.0 1.0 1.0 1.0 1.0
490,can i pay with euro,1.0 1.0 1.0 1.0 1.0
492,i'd like a ticket to the junior jeans,0.99 1.0 0.97 0.97 1.0 0.98 0.82 0.79
493,i'd like a ticket to the room,0.62 0.99 1.0 1.0 1.0 0.62 0.35
494,i'd like to pay by credit card,0.9 1.0 1.0 1.0 0.93 1.0 0.99
495,i would like to pay by credit card,1.0 1.0 1.0 1.0 1.0 0.99 1.0 0.99
496,can i pay by credit card,1.0 1.0 1.0 0.51 1.0 1.0
497,my room hairdryer afternoon,0.71 0.99 0.72 0.96
498,i pay by credit card,1.0 1.0 1.0 1.0 0.99
499,i pay with credit card,0.56 1.0 1.0 1.0 1.0
500,i pay by credit card,0.98 1.0 1.0 1.0 1.0
501,i have one musical ticket,0.7 0.5 1.0 1.0 0.93
502,i'd like a ticket for sunday evening,0.97 1.0 0.99 0.99 1.0 0.98 1.0
503,a ticket for mamma mia,1.0 0.99 1.0 1.0 0.97
504,i want one ticket for mamma mia,1.0 1.0 0.99 0.99 1.0 1.0 0.98
505,i would like to sit in the seven row,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.73 1.0
506,i'd like tickets for the london eye,0.99 1.0 0.98 1.0 1.0 1.0 1.0
507,i need four tickets,0.97 0.96 0.98 0.98
508,i'm fine,0.84 1.0
509,i want boots,0.66 0.62 1.0
510,i'd like room,0.98 1.0 1.0
511,i would like some boots,1.0 1.0 1.0 0.78 0.99
